game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,192x16_20260531_lr1e-9-20,1-0,192x16_20260531_lr1e-9-20,maia-1400,g1f3 g8f6 b1c3 d7d5 d2d4 e7e6 c1g5 f8e7 e2e3 e8g8 f1d3 c7c5 e1g1 c5c4 d3e2 b8c6 f3e5 c6e5 d4e5 f6d7 g5e7 d8e7 f2f4 f7f6 e5f6 d7f6 d1d4 b7b6 a1d1 c8b7 d4e5 f6d7 e5c7 a8b8 c3b5 f8c8 c7d6 e7d6 b5d6 c8c6 d6b7 b8b7 e3e4 d5e4 d1d4 d7f6 e2c4 b7d7 d4d7 f6d7 c4b3 d7c5 g1f2 c5b3 c2b3 c6c2 f2g3 c2b2 f1f2 b2f2 g3f2 g8f7 f2e3 f7f6 e3e4 g7g5 f4g5 f6g5 e4e5 g5g4 e5e6 h7h5 e6d6 h5h4 d6c7 h4h3 g2h3 g4h3 c7b7 h3h2 b7a7 b6b5 a2a4 b5a4 b3a4 h2g3 a4a5 g3f4 a7b7 f4e5 a5a6 e5d6 b7b6 d6d7 b6b7 d7d6 b7b6 d6d7 b6b7 d7d8 a6a7 d8d7 b7b6 d7c8 a7a8q c8d7 a8d5 d7e7 d5e5 e7f7 b6c6 f7g6 c6d7 g6f7 e5f4 f7g6 f4e5 g6f7 e5g5 f7f8 d7e6 f8e8 g5e7
2,Win,192x16_20260531_lr1e-9-20,0-1,maia-1400,192x16_20260531_lr1e-9-20,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5 f3e5 e7e6 d1f3 d8f6 f3f6 d5f6 c1g5 b8d7 e5d7 c8d7 g5f6 g7f6 b1c3 e8c8 e1c1 f6f5 d4d5 f8c5 d5e6 f7e6 f2f3 h8g8 a2a3 c5e3 c1b1 d7c6 d1d8 g8d8 f1d3 d8g8 h1e1 f5f4 e1e2 h7h5 c3d1 e3g1 h2h3 c8d7 d3c4 c6d5 c4d5 e6d5 e2d2 c7c6 c2c4 d5d4 b2b4 g1e3 d1e3 f4e3 d2d4 d7c7 d4e4 g8g2 e4e3 g2h2 f3f4 h2f2 e3e4 f2f3 h3h4 f3a3 b1b2 a3h3 f4f5 h3f3 e4e5 c7d6 e5e6 d6d7 e6h6 f3f5 h6h7 d7c8 b2c3 a7a6 c3d4 b7b6 d4e4 f5f1 h7h5 f1b1 h5h8 c8c7 h4h5 b1b4 e4d3 b4b3 d3c2 b3h3 h5h6 c7d6 h6h7 d6c5 c2b2 a6a5 b2c2 c5c4 c2d2 b6b5 d2e2 a5a4 e2f2 a4a3 f2g2 h3h5 g2g3 a3a2 g3g4 h5h1 h8a8 a2a1n h7h8q h1h8 a8h8 b5b4 h8a8 a1c2 a8c8 c6c5 g4f4 b4b3 f4e4 b3b2 c8b8 c2b4 e4e5 b4c6 e5d6 c6b8 d6c7 b8a6 c7b6 a6b4 b6a5 b4c2 a5b6 b2b1q b6c6 c2d4 c6d6 b1f5 d6c7 c4b5 c7d6 b5c4 d6e7 c4d5 e7e8 d5d6 e8d8 f5d7
3,Win,192x16_20260531_lr1e-9-20,1-0,192x16_20260531_lr1e-9-20,maia-1400,g1f3 g8f6 b1c3 d7d5 d2d4 e7e6 c1g5 f8e7 e2e3 e8g8 f1d3 c7c5 e1g1 c5c4 d3e2 b8c6 f3e5 c6e5 d4e5 f6d7 g5e7 d8e7 f2f4 f7f6 e5f6 d7f6 d1d4 c8d7 a2a4 a7a6 g2g4 b7b5 g4g5 f6e4 c3e4 d5e4 d4e4 a8c8 a4b5 a6b5 a1a7 c8d8 f1d1 f8f7 e2g4 g7g6 g4e6 e7e6 e4e6 d7e6 d1d8 g8g7 a7f7 e6f7 d8b8 h7h6 b8b5 h6g5 f4g5 f7e6 g1f2 e6f5 c2c3 f5d3 f2f3 g7f7 e3e4 f7e6 h2h4 e6d6 b5b6 d6c5 b6g6 c5b5 h4h5 b5a4 h5h6 a4b3 g6b6 b3c2 h6h7 c2d2 h7h8q d3e2 f3f4 d2d3 h8d4 d3c2 g5g6 e2d3 g6g7 d3f1 g7g8n f1d3 g8f6 d3e2 f6d5 e2d3 d4f2 c2b1 d5e3 b1a2 e4e5 a2b1 f2d2 b1a2 b2b3 a2a3 b3c4 d3h7 d2b2 a3a4 b6a6
4,Draw,Draw,1/2-1/2,maia-1400,192x16_20260531_lr1e-9-20,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5 f3e5 c8f5 f1c4 e7e6 e1g1 b8d7 c4d5 e6d5 d1f3 f5e6 f1e1 d7e5 e1e5 f8d6 e5e1 e8g8 b1c3 c7c6 c1f4 d6e7 f3g3 e7h4 g3f3 h4f6 f4e5 f6e5 e1e5 d8b6 b2b3 b6d4 e5e1 e6g4 f3g3 a8e8 h2h3 g4f5 a1d1 d4b4 e1e8 f8e8 g3f3 f5c2 d1c1 c2g6 c3e2 b4d2 c1f1 e8e2 f3g4 h7h5 g4c8 g8h7 c8b7 d5d4 b7c6 e2e1 f1e1 d2e1 g1h2 d4d3 c6f3 d3d2 g2g4 g6e4 f3f7 e1h1 h2g3 h1g2 g3h4 d2d1q f7h5 h7g8 h5e8 g8h7 e8h5 h7g8 h5e8 g8h7 e8h5 h7g8 h5e8 g8h7 e8h5 h7g8 h5e8 g8h7 e8h5
5,Win,192x16_20260531_lr1e-9-20,1-0,192x16_20260531_lr1e-9-20,maia-1400,g1f3 g8f6 b1c3 d7d5 d2d4 e7e6 c1g5 f8e7 e2e3 e8g8 f1d3 c7c5 e1g1 c5c4 d3e2 b8c6 f3e5 c6e5 d4e5 f6d7 g5e7 d8e7 f2f4 f7f6 e5f6 d7f6 d1d4 b7b6 a2a4 c8b7 a4a5 b6a5 a1a5 a7a6 f1a1 e7b4 b2b3 f6e4 c3e4 d5e4 e2c4 a8d8 c4e6 g8h8 d4b4 d8b8 b4d6 f8d8 d6b4 h7h6 b4e7 d8e8 e7f7 e8f8 f7c7 f8e8 a5e5 b7c8 e6f7 e8e5 c7b8 e5c5 b8d6 c5f5 d6d8 h8h7 d8g8
6,Draw,Draw,1/2-1/2,maia-1400,192x16_20260531_lr1e-9-20,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5 f3e5 e7e6 d1f3 d8f6 f3f6 d5f6 c1g5 b8d7 e5d7 c8d7 g5f6 g7f6 b1c3 f6f5 e1c1 e8c8 d4d5 f8c5 d5e6 f7e6 f2f3 h8g8 a2a3 c5e3 c1b1 d7c6 d1d8 g8d8 f1d3 d8g8 h1e1 f5f4 e1e2 h7h5 c3d1 e3g1 h2h3 c8d7 d3c4 c6d5 c4d5 e6d5 e2d2 c7c6 c2c4 d5d4 b2b4 g1e3 d1e3 f4e3 d2d4 d7c8 d4e4 g8g2 e4e3 g2h2 f3f4 h2f2 e3e4 f2f3 b1b2 f3h3 f4f5 c8d7 f5f6 h3f3 e4e7 d7d6 e7b7 f3f6 b7a7 f6h6 c4c5 d6e6 a7c7 e6d5 c7d7 d5c4 d7d6 h6h8 d6c6 h5h4 c6g6 h4h3 g6g1 h3h2 g1h1 c4b5 b2b3 h8h3 b3b2 h3h8 b2b3 h8h3 b3b2 h3h8 b2b3 h8h3 b3b2 h3h7 b2b3 h7h3 b3b2 h3h7 b2b3 h7h3
7,Win,192x16_20260531_lr1e-9-20,1-0,192x16_20260531_lr1e-9-20,maia-1400,g1f3 g8f6 b1c3 d7d5 d2d4 e7e6 c1g5 f8e7 e2e3 e8g8 f1d3 c7c5 e1g1 c5c4 d3e2 b8c6 f3e5 c6e5 d4e5 f6d7 g5e7 d8e7 f2f4 f7f6 e5f6 d7f6 d1d4 c8d7 a2a4 a7a6 g2g4 b7b5 g4g5 f6e4 c3e4 d5e4 d4e4 a8c8 a4b5 a6b5 a1a7 c8d8 f1d1 f8f7 e2g4 g7g6 e4e5 b5b4 g4e6 e7e6 e5e6 d7e6 d1d8 g8g7 a7f7 e6f7 d8b8 b4b3 c2b3 c4b3 g1f2 h7h6 h2h4 h6g5 h4g5 f7e6 e3e4 g7f7 b8b6 f7e7 b6b7 e7d6 b7g7 d6c5 g7g6 e6f7 g6f6 f7h5 g5g6 h5g6 f6g6 c5d4 f2f3 d4d3 e4e5 d3c2 g6g2 c2b1 e5e6 b1a2 f4f5 a2b1 e6e7 b1a2 e7e8n a2b1 f5f6 b1a2 f6f7 a2b1 f3f4 b1a2 f7f8q a2b1 f8a3 b1c1 a3a1
8,Draw,Draw,1/2-1/2,maia-1400,192x16_20260531_lr1e-9-20,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5 f3e5 c8f5 f1c4 e7e6 e1g1 b8d7 c4d5 e6d5 d1f3 f5e6 f1e1 d7e5 e1e5 f8d6 e5e1 e8g8 b1c3 c7c6 c1f4 d6e7 f3g3 e7h4 g3f3 h4e7 f3g3 e7h4 g3f3 h4f6 f4e5 f6e5 e1e5 d8b6 b2b3 b6d4 e5e1 e6g4 f3g3 a8e8 h2h3 g4f5 a1d1 d4b4 e1e8 f8e8 g3f3 f5c2 d1c1 c2g6 c3e2 b4d2 c1f1 e8e2 f3g4 h7h5 g4c8 g8h7 c8b7 e2e1 f1e1 d2e1 g1h2 e1f2 b7c6 d5d4 c6c1 d4d3 c1d1 d3d2 a2a4 f2f4 h2h1 f4f2 h1h2 h5h4 b3b4 f2f4 h2g1 f4d4 g1h2 d4f4 h2g1 f4d4 g1h2 d4f4 h2g1 f4d4 g1h2 d4f4 h2h1 f4b4 h1h2 b4f4 h2h1 f4d4 a4a5 d4f2 a5a6 f2e1 d1e1 d2e1n h1g1 e1d3 g1f1 g6e4 f1e2 f7f5 e2e3 g7g5 e3d4 h7g6 d4e3 g6h7 e3d4 h7g6 d4e3 d3f4 e3f2 e4g2 f2g1 g2h3 g1h2 h3g4 h2g1 g4e2 g1f2 e2a6 f2f3 h4h3 f3g3 a6f1 g3h2 f1a6 h2g3 a6f1 g3h2 f1a6 h2g3 a6f1 g3h2 f1c4 h2g3 c4f1 g3h2 f1g2 h2g3 g2f1
9,Win,192x16_20260531_lr1e-9-20,1-0,192x16_20260531_lr1e-9-20,maia-1400,g1f3 g8f6 b1c3 d7d5 d2d4 c7c5 c1f4 b8c6 e2e3 c8g4 f1b5 e7e6 e1g1 f8e7 h2h3 g4h5 g2g4 h5g6 f3e5 d8b6 h3h4 e8g8 b5c6 b7c6 c3a4 b6b5 a4c5 e7c5 d4c5 b5c5 h4h5 g6c2 a1c1 c2d1 c1c5 d1g4 e5g4 f6g4 c5c6 g4f6 h5h6 g7g6 f1c1 f6e4 f2f3 e4d2 g1f2 d2c4 b2b3 c4b6 a2a4 b6d7 c6c7 d7f6 b3b4 f6h5 f4d6 f8d8 d6e7 d8e8 b4b5 f7f6 a4a5 g8f7 e7d6 f7g8 c1c6 e6e5 d6c5 e5e4 c5a7 e4f3 b5b6 d5d4 e3d4 e8e2 f2f3 a8e8 c6c3 e2e4 b6b7 e4f4 f3g2 f4g4 g2f2 g4f4 c3f3 f4f3 f2f3 g6g5 a5a6 f6f5 c7c8 g5g4 f3f2 g4g3 f2f3 g8f7 c8e8 f7e8 a7c5 e8d7 a6a7 d7c7 b7b8n c7b7 b8d7 f5f4 d4d5 b7c7 a7a8q c7d7 a8b7 d7d8 b7a8 d8d7 a8b7 d7d8 b7e7 d8c8 e7e8 c8c7 e8c6 c7d8 c6a8 d8d7 a8a7 d7c8 a7a8 c8d7 a8b7 d7d8 b7e7 d8c8 e7e8 c8c7 e8e5 c7d7 e5e7 d7c8 c5d6 h5f6 e7c7
10,Loss,maia-1400,1-0,maia-1400,192x16_20260531_lr1e-9-20,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8f5 f1c4 e7e6 c4d5 e6d5 b1c3 d6e5 f3e5 c7c6 e1g1 f8d6 f1e1 e8g8 d1f3 f5c2 f3g4 f8e8 c1h6 d8f6 h6g5 f6e6 g4e6 e8e6 a1c1 c2f5 g2g4 f5g6 e5g6 e6g6 e1e8 d6f8 g5e7 g6g4 g1f1 h7h6 e8f8 g8h7 f8f7 g4d4 e7f6 h7g6 f6d4 g6f7 c1e1 b8d7 e1e3 c6c5 e3f3 f7g8 c3d5 c5d4 f3d3 d7e5 d3d4 a8d8 d5e7 g8f7 d4d8 f7e7 d8a8 e5c6 f1e2 e7f6 e2e3 a7a6 e3e4 h6h5 a8f8 f6e7 f8h8 g7g6 h8h7 e7f6 h7b7 c6d8 b7b6 f6g7 b6a6 g7f7 b2b4 d8e6 b4b5 e6c5 e4d5 c5d3 b5b6 d3b4 d5c4 b4a6 c4b5 a6b8 a2a4 f7e6 a4a5 e6d7 a5a6 b8a6 b5a6 d7d6 b6b7 d6d5 b7b8q d5e4 b8e8 e4f3 e8g6 h5h4 g6g5 h4h3 g5g3 f3e2 g3h3 e2e1 f2f4 e1e2 f4f5 e2f2 f5f6 f2g1 f6f7 g1h1 f7f8q h1g1 h3g4 g1h1 h2h4 h1h2 f8f2 h2h1 g4g1
