game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Loss,maia-2200,0-1,256x20_20260605_lr1e-9-270,maia-2200,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8c6 b1c3 e7e5 d4d5 c6e7 e2e4 f6e8 a2a4 f7f5 e4f5 g6f5 f1e1 e7g6 a4a5 a7a6 c1d2 f5f4 c3e4 c8g4 h2h3 g4d7 c4c5 e8f6 c5d6 f6e4 d6c7 d8c7 e1e4 d7f5 d5d6 c7d6 d1b3 g8h8 d2b4 d6d7 a1d1 d7b5 g2f1 b5c6 b4f8 f5e4 f8g7 h8g7 f3g5 e4c2 b3f7 g7h6 d1d7 h6g5 h3h4 g5g4 f1e2 f4f3 e2f3 c6f3 f7e6 c2f5 e6d5 f3d5 d7d5 f5e4 d5c5 a8d8 g1f1 e4c6 f1e1 g4f3 b2b4 d8d4 h4h5 g6e7 h5h6 d4e4 e1d1 f3f2 b4b5 c6b5 d1c1 e4c4 c5c4 b5c4 g3g4 e5e4 g4g5 e4e3 g5g6 e3e2 g6h7 e2e1q c1b2 e1b4 b2a1 b4a3 a1b1 c4d3
2,Loss,maia-2200,1-0,maia-2200,256x20_20260605_lr1e-9-270,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 d4c6 d7c6 e4e5 d6e5 d2d8 a8d8 d1d8 e8d8 f4e5 h7h6 g5h4 g7g5 h4g3 f6g4 h2h3 g4e3 h1g1 f8c5 g3f2 d8e7 c3d1 h8d8 d1e3 d8d1 e3d1 c5f2 d1f2 c6d5 b2b3 f7f5 e5f6 e7f6 f1d3 h6h5 f2e4 d5e4 d3e4 f6e5 e4f3 h5h4 g1e1 e5f4 e1e6 f4g3 e6a6 g3f4 a6b6 f4e5 b6b5 e5f4 a2a4 f4g3 a4a5 g3f4 a5a6 f4g3 a6a7 g3h2 a7a8q h2g3 b5g5 g3h2 g5g4 h2g1 g4h4 g1f2 h4g4 f2g1 h3h4 g1f2 h4h5 f2g1 h5h6 g1f2 h6h7 f2g1 h7h8q g1f2 a8g8 f2g1 h8h3 g1f2 g8g5 f2g1 g5e3 g1f1 h3h1
3,Draw,Draw,1/2-1/2,256x20_20260605_lr1e-9-270,maia-2200,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8c6 b1c3 e7e5 d4d5 c6e7 e2e4 f6d7 b2b4 a7a5 a2a3 f7f5 a1b1 d7f6 f3g5 h7h6 g5e6 c8e6 d5e6 d8c8 e4f5 g6f5 c3d5 f6d5 c4d5 a5b4 b1b4 b7b6 b4c4 c8b7 f1e1 a8a5 c1d2 a5d5 g2d5 b7d5 c4c7 d5e6 c7b7 e7d5 d1b3 f5f4 b3c4 f4g3 h2g3 g8h8 a3a4 e6f5 e1e2 d5f6 b7b6 d6d5 c4b3 f6e4 b6b8 e4f2 b8f8 f5f8 e2f2 f8c5 a4a5 e5e4 a5a6 g7d4 b3b8 h8h7 a6a7 d4f2 g1f1 f2g3 b8g3 c5a7 g3f4 a7a6 f1e1 a6a1 e1f2 a1d4 d2e3 d4b2 f2g3 b2g7 g3h4 g7e7 h4g3 e7g7 g3h4 g7e7 h4g3 e7g7 g3h4 g7e7 h4g3 e7g7 g3h4 g7e7 h4g3 e7g7
4,Draw,Draw,1/2-1/2,maia-2200,256x20_20260605_lr1e-9-270,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5h4 c8d7 f2f4 b7b5 d4c6 d7c6 e4e5 d6e5 d2d8 a8d8 d1d8 e8d8 f4e5 g7g5 h4g3 f6g4 h2h3 g4e3 h1g1 b5b4 c3e2 f8c5 g3f2 d8e7 e2g3 a6a5 f1d3 c5d4 g3e2 d4c5 c1d2 h8d8 f2e3 c5e3 d2e3 d8d5 e2d4 d5e5 e3f2 e7d6 d4c6 d6c6 g1e1 c6d6 e1e5 d6e5 f2e3 f7f5 g2g3 e5d5 c2c3 b4c3 b2c3 d5c5 a2a3 c5d5 d3e2 d5c5 e2d3 c5d5 c3c4 d5c5 d3e2 e6e5 e3d3 e5e4 d3c3 f5f4 g3f4 g5f4 e2f1 f4f3 c3d2 c5d4 d2e1 e4e3 e1d1 e3e2 f1e2 f3e2 d1e2 d4c4 e2f3 c4b3 f3g4 b3a3 g4h5 a5a4 h5h6 a3b4 h3h4 a4a3 h4h5 a3a2 h6g7 a2a1q g7g8 b4c5 h5h6 c5d6 h6h7 d6e6 h7h8q a1h8 g8h8
5,Win,256x20_20260605_lr1e-9-270,1-0,256x20_20260605_lr1e-9-270,maia-2200,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8c6 b1c3 e7e5 d4d5 c6e7 e2e4 f6e8 a2a4 f7f5 e4f5 g6f5 f1e1 e7g6 a4a5 a7a6 c1d2 f5f4 c3e4 c8g4 h2h3 g4f5 f3g5 e8f6 e4f6 d8f6 g5e4 f5e4 e1e4 f4g3 f2g3 f6f2 g1h2 f8f7 d2e3 f2b2 a1b1 b2a2 b1a1 a2b2 a1b1 b2a2 b1b7 a8f8 c4c5 a2a5 c5d6 c7d6 e4a4 a5c3 b7b3 c3c8 b3b6 c8c3 d1e2 e5e4 a4e4 g7e5 b6c6 c3a1 c6c1 a1a3 c1c2 a3b3 c2c4 a6a5 h3h4 a5a4 h4h5 g6e7 e3f4 e5f4 e4f4 e7f5 f4f3 b3b7 e2e6 f5g7 f3f7 b7f7 e6f7 f8f7 h5h6 g7f5 g2h3 a4a3 c4a4 f5h6 h3e6 g8g7 e6f7 h6f7 a4a3 g7f6 a3f3 f6g6 g3g4 f7e5 f3f4 g6g5 h2g3 e5g6 f4f5 g5h6 g4g5 h6g7 g3f3 g6h4 f3g4 h4f5 g4f5 g7f7 f5g4 f7g6 g4f4 h7h5 g5h6 g6h6 f4f5 h6g7 f5e6 g7f8 e6d6 f8e8 d6c7 e8e7 d5d6 e7e6 d6d7 e6e5 d7d8q e5e4 d8d2 e4e5 d2e3 e5d5 e3f4 d5c5 f4e4 c5b5 e4d4 b5a5 c7c6 a5a6 d4a1
6,Loss,maia-2200,1-0,maia-2200,256x20_20260605_lr1e-9-270,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 d4c6 d7c6 e4e5 d6e5 d2d8 a8d8 d1d8 e8d8 f4e5 h7h6 g5h4 g7g5 h4g3 f6g4 h2h3 g4e3 h1g1 f8c5 g3f2 d8e7 c3d1 h8d8 d1e3 d8d1 e3d1 c5f2 d1f2 c6d5 b2b3 f7f5 e5f6 e7f6 f1d3 h6h5 f2e4 d5e4 d3e4 f6e5 e4f3 h5h4 g1e1 e5f4 e1e6 f4g3 e6a6 g3f4 a6b6 f4e5 b6b5 e5f4 a2a4 f4g3 a4a5 g3f4 a5a6 f4g3 a6a7 g3h2 a7a8q h2g3 b5g5 g3h2 g5g4 h2g1 g4h4 g1f2 h4g4 f2g1 h3h4 g1f2 h4h5 f2g1 h5h6 g1f2 h6h7 f2g1 h7h8q g1f2 a8g8 f2g1 h8h3 g1f2 g8g5 f2g1 g5e3 g1f1 h3h1
7,Loss,maia-2200,0-1,256x20_20260605_lr1e-9-270,maia-2200,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8c6 b1c3 e7e5 d4d5 c6e7 e2e4 f6d7 b2b4 a7a5 a2a3 f7f5 a1b1 d7f6 f3g5 h7h6 g5e6 c8e6 d5e6 d8c8 e4f5 g6f5 c3d5 f6d5 c4d5 a5b4 b1b4 b7b6 b4c4 c8b7 f1e1 a8a5 c1d2 a5d5 g2d5 b7d5 c4c7 d5e6 c7b7 e7d5 d1b3 g8h8 a3a4 f5f4 a4a5 b6a5 d2a5 f4g3 h2g3 e5e4 a5d2 g7d4 d2e3 d4e3 e1e3 d5e3 b3e3 d6d5 e3d4 e6f6 d4c5 d5d4 b7b6 f6f2 g1h1 f2f1 h1h2 f8f2
8,Draw,Draw,1/2-1/2,maia-2200,256x20_20260605_lr1e-9-270,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5h4 c8d7 f2f4 b7b5 d4c6 d7c6 e4e5 d6e5 d2d8 a8d8 d1d8 e8d8 f4e5 g7g5 h4g3 f6g4 h2h3 g4e3 h1g1 b5b4 c3e2 f8c5 g3f2 d8e7 e2g3 c5d4 f1d3 a6a5 g3e2 d4c5 c1d2 h8d8 f2e3 c5e3 d2e3 d8d5 e2d4 d5e5 e3f2 e7d6 d4c6 d6c6 g1e1 c6d6 e1e5 d6e5 f2e3 f7f5 g2g3 e5d5 c2c3 b4c3 b2c3 d5c5 a2a3 c5d5 d3e2 d5c5 e2d3 c5d5 c3c4 d5c5 d3e2 e6e5 e3d3 e5e4 d3c3 f5f4 g3f4 g5f4 e2f1 f4f3 c3d2 c5d4 d2e1 e4e3 e1d1 e3e2 f1e2 f3e2 d1e2 d4c4 e2f3 c4b3 f3g4 b3a3 g4h5 a5a4 h5h6 a3b4 h3h4 a4a3 h4h5 a3a2 h6g7 a2a1q g7g8 b4c5 h5h6 c5d6 h6h7 d6e6 h7h8q a1h8 g8h8
9,Loss,maia-2200,0-1,256x20_20260605_lr1e-9-270,maia-2200,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8c6 b1c3 e7e5 d4d5 c6e7 e2e4 f6e8 a2a4 f7f5 e4f5 g6f5 a4a5 e7g6 f1e1 a7a6 c1d2 f5f4 c3e4 c8g4 h2h3 g4d7 c4c5 e8f6 c5d6 f6e4 d6c7 d8c7 e1e4 f4g3 f2g3 d7f5 d5d6 c7c5 d2e3 c5b5 f3d2 a8d8 d2c4 f5e4 g2e4 b5c4 e4d5 c4d5 d1d5 g8h8 d6d7 g6e7 d5e6 e7c6 e3b6 c6d4 e6d5 d4e2 g1h2 e2d4 h2h1 d4c6 b6d8 f8d8 d5e6 h7h6 a1f1 h8h7 f1f7 h7g8 e6e8 g8h7 b2b4 h7g6 h3h4 g7f6 h4h5 g6f5 f7f6 f5f6 b4b5 a6b5 a5a6 b7a6 g3g4 b5b4 h1g2 b4b3 g2h3 b3b2 e8g6 f6e7 g4g5 h6g5 h5h6 d8d7 h6h7 d7d3 h3g2 b2b1q h7h8q b1c2 g2f1 d3d1
10,Loss,maia-2200,1-0,maia-2200,256x20_20260605_lr1e-9-270,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5h4 c8d7 f2f4 f8e7 f1e2 e8g8 g2g4 b7b5 g4g5 h6g5 f4g5 f6h7 h1g1 b5b4 d4c6 d7c6 g5g6 f7g6 h4e7 d8e7 d2d6 e7d6 d1d6 b4c3 d6c6 c3b2 c1b2 f8f2 e2c4 h7f8 c6a6 a8b8 c4b3 g8h7 h2h4 f2e2 g1g4 h7h6 a6a5 f8d7 a5g5 d7f8 a2a4 b8c8 a4a5 c8b8 a5a6 b8a8 g5a5 a8a7 b3c4 e2e1 b2c3 f8d7 c4e6 d7f6 g4f4 f6e4 c3d4 e4f6 e6c4 a7a8 c4d3 a8a7 a5g5 a7d7 d4c3 d7c7 c3d2 e1e8 g5g6 h6h7 g6f6 h7g8 f6g6 g8h8 h4h5 h8g8 h5h6 g8h8 h6g7 h8g8 d3c4 g8h7 g7g8q e8g8 g6g8 c7c4 f4c4 h7g8 a6a7 g8f7 a7a8q f7g6 a8a5 g6f6 c4c6 f6e7 a5a7 e7d8 c6c7 d8e8 c7c8
