game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,192x16_20260605_lr1e-9-110,1-0,192x16_20260605_lr1e-9-110,maia-1700,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 e5d4 e1g1 c8d7 f3d4 g8f6 d4c6 b7c6 b5d3 f8e7 b1d2 e8g8 h2h3 f8e8 f1e1 e7f8 b2b3 d6d5 e4e5 f6e4 d2e4 d5e4 d3e4 e8e5 e4h7 g8h7 e1e5 f8d6 e5h5 h7g8 c1b2 f7f6 d1d3 d7e8 d3h7 g8f8 h5h4 e8f7 h4g4 g7g5 a1e1 d8d7 b2f6 f7e6 h7h8 e6g8 h8h6 d7g7 h6g7
2,Win,192x16_20260605_lr1e-9-110,0-1,maia-1700,192x16_20260605_lr1e-9-110,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 e8g8 d2d4 c8g4 h2h3 g4h5 b1d2 e5d4 c3d4 c6d4 b5e2 d4e2 d1e2 f8e8 b2b3 d6d5 e4e5 e7b4 e2d3 f6e4 d2e4 d5e4 d3e4 b4e1 f3e1 d8d1 c1b2 d1d2 b2d4 a8d8 d4e3 d2b2 a1b1 b2a2 g2g4 h5g6 e4b7 a2b1 g1f1 d8d1 b7a7 d1e1 f1g2 e1g1 g2f3 g6e4 f3f4 h7h6 h3h4 b1d1 f4e4 g1g4 e3f4 d1h1 e4f5 h1f3 a7e3 g7g6 f5f6 e8e6
3,Draw,Draw,1/2-1/2,192x16_20260605_lr1e-9-110,maia-1700,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 e5d4 f3d4 c8d7 e1g1 g8f6 d4c6 b7c6 b5d3 f8e7 h2h3 e8g8 b1d2 f8e8 f1e1 e7f8 b2b3 d6d5 e4e5 f6e4 d2e4 d5e4 d3e4 e8e5 e4h7 g8h7 e1e5 f8d6 e5h5 h7g8 c1b2 f7f6 d1d3 d7e8 d3h7 g8f8 h7h8 f8f7 a1e1 e8d7 h8h7 d8f8 b2f6 f7f6 e1e3 a8e8 e3f3 f6e7 f3f8 e8f8 h7g7 f8f7 g7g5 e7e8 h5h8 f7f8 h8h7 f8f7 h7h8 f7f8 h8h7 f8f7 h7h8 f7f8 h8h7 f8f7 h7h8 f7f8 h8h7 f8f7 h7h8
4,Win,192x16_20260605_lr1e-9-110,0-1,maia-1700,192x16_20260605_lr1e-9-110,e2e4 e7e5 g1f3 g8f6 b1c3 f8b4 d2d3 d7d5 e4d5 f6d5 c1d2 b8c6 f1e2 e8g8 e1g1 b4e7 f1e1 c8e6 e2f1 f7f6 a2a3 d8d7 c3e4 a7a5 c2c4 d5b6 d2c3 f8d8 d1c2 e6g4 f3d2 g4h5 d2b3 b6a4 c3d2 h5g6 a1d1 b7b6 d2c3 f6f5 e4g3 f5f4 g3e4 a4c3 c2c3 f4f3 g2f3 a5a4 b3d2 d8f8 f1g2 a8d8 d2f1 c6d4 f1g3 h7h5 e4d2 h5h4 g3e4 h4h3 g2h1 e7h4 e4g3 d7f7 e1e5 h4f6 e5e3 d4e2 g3e2 f6c3 e2c3 g6d3 d2e4 d3c4 d1e1 f7g6 e4g3 d8d2 c3a4 g6c2 g3e4 d2d1 a4c3 d1c1 e4g3 c2b2 c3e4 b2a1 e1c1 a1c1 e3e1 c1e1 g3f1 e1f1
5,Win,192x16_20260605_lr1e-9-110,1-0,192x16_20260605_lr1e-9-110,maia-1700,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 e5d4 e1g1 c8d7 f3d4 g8f6 d4c6 b7c6 b5d3 f8e7 b1d2 e8g8 h2h3 f8e8 f1e1 e7f8 b2b3 d6d5 e4e5 f6e4 d2e4 d5e4 d3e4 e8e5 e4h7 g8h7 e1e5 f8d6 e5h5 h7g8 c1b2 f7f6 d1d3 d7e8 d3h7 g8f8 h5h4 e8f7 h4g4 g7g5 a1e1 d8d7 b2f6 f7e6 h7h8 e6g8 h8h6 d7g7 h6g7
6,Win,192x16_20260605_lr1e-9-110,0-1,maia-1700,192x16_20260605_lr1e-9-110,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 e8g8 d2d4 c8g4 h2h3 g4h5 b1d2 e5d4 c3d4 c6d4 b5e2 d4e2 d1e2 f8e8 b2b3 d6d5 e4e5 e7b4 e2d3 f6e4 d2e4 d5e4 d3e4 b4e1 f3e1 d8d1 c1b2 d1d2 b2d4 a8d8 d4e3 d2b2 a1b1 b2a2 g2g4 h5g6 e4b7 a2b1 g1f1 d8d1 b7a7 d1e1 f1g2 e1g1 g2f3 g6e4 f3f4 h7h6 h3h4 b1d1 f4e4 g1g4 e3f4 d1h1 e4f5 h1f3 a7e3 g7g6 f5f6 e8e6
7,Draw,Draw,1/2-1/2,192x16_20260605_lr1e-9-110,maia-1700,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 e5d4 f3d4 c8d7 e1g1 g8f6 d4c6 b7c6 b5d3 f8e7 h2h3 e8g8 b1d2 f8e8 f1e1 e7f8 b2b3 d8c8 c1b2 d7h3 g2h3 c8h3 d1f3 h3h6 d2c4 h6g5 g1f1 f6g4 f3g3 h7h5 f2f3 d6d5 e4d5 c6d5 c4e5 g4e3 f1f2 g5g3 f2g3 f8d6 e1e3 f7f6 f3f4 f6e5 f4e5 d6c5 e3e1 d5d4 d3c4 g8h8 c4f7 e8e7 e5e6 a8d8 e1e5 c5d6 b2d4 d6e5 d4e5 d8d5 a1e1 h8h7 g3f4 g7g6 f4g5 d5d2 f7g6 h7g8 g5f6 g8f8 e1f1 d2g2 g6h5 g2c2 f6g5 f8g8 h5f7 g8f8 f7h5 f8g8 h5f7 g8f8 f7g6 f8g8 g6f7 g8f8 f7g6 f8g8 g6f7 g8f8 f7g6 f8g8 g6f7
8,Win,192x16_20260605_lr1e-9-110,0-1,maia-1700,192x16_20260605_lr1e-9-110,e2e4 e7e5 g1f3 g8f6 b1c3 f8b4 d2d3 d7d5 e4d5 f6d5 c1d2 b8c6 f1e2 e8g8 e1g1 b4e7 f1e1 c8e6 e2f1 f7f6 a2a3 d8d7 c3e4 a7a5 c2c4 d5b6 d2c3 f8d8 d1c2 e6g4 f3d2 g4h5 d2b3 b6a4 c3d2 h5g6 a1d1 b7b6 d2c3 f6f5 e4g3 f5f4 g3e4 a4c3 c2c3 f4f3 g2f3 a5a4 b3d2 d8f8 f1g2 a8d8 d2f1 c6d4 f1g3 h7h5 e4d2 h5h4 g3e4 h4h3 g2h1 e7h4 e4g3 d7f7 e1e5 h4f6 e5e3 d4e2 g3e2 f6c3 e2c3 g6d3 d2e4 d3c4 d1e1 f7g6 e4g3 d8d2 c3a4 g6c2 g3e4 d2d1 a4c3 d1c1 e4g3 c2b2 c3e4 b2a1 e1c1 a1c1 e3e1 c1e1 g3f1 e1f1
9,Win,192x16_20260605_lr1e-9-110,1-0,192x16_20260605_lr1e-9-110,maia-1700,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 e5d4 f3d4 c8d7 e1g1 c6d4 b5d7 d8d7 d1d4 g8f6 b1c3 f8e7 f1d1 e8g8 f2f3 f8e8 c1e3 b7b6 a2a4 a8d8 a4a5 c7c5 d4d3 d7c6 a5b6 a7b6 a1a7 e7f8 e3g5 f8e7 d3a6 d8a8 d1a1 a8a7 a6a7 h7h6 g5h4 g7g5 h4g3 f6h5 c3d5 h5g3 d5e7 e8e7 a7e7 g3e2 g1f2 e2d4 a1a7 d4c2 e7f7 g8h8 f7h7
10,Draw,Draw,1/2-1/2,maia-1700,192x16_20260605_lr1e-9-110,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 f1c4 f6e4 c3e4 d7d5 c4d5 d8d5 e4c3 d5d6 e1g1 c8g4 h2h3 g4h5 f1e1 e8c8 d2d3 f7f5 c1g5 d8e8 c3b5 d6g6 g5e3 a7a6 b5c3 e5e4 d3e4 f5e4 f3h4 g6f7 d1d5 f8b4 d5f7 h5f7 h4f5 f7g6 f5g7 e8e7 e3h6 h8g8 c3d5 e7g7 h6g7 b4e1 a1e1 g8g7 d5f6 g7f7 f6e4 c6b4 c2c3 b4d3 e1e2 f7e7 f2f3 g6e4 f3e4 d3c5 e4e5 c8d7 b2b4 c5a4 c3c4 d7e6 g1f2 a4b6 c4c5 b6d5 a2a3 e7f7 f2g3 f7f5 g3g4 f5e5 e2e5 e6e5 g4g5 d5e3 g2g4 e3c2 g5h6 c2a3 h6h7 a3c2 g4g5 c2b4 g5g6 b4d5 g6g7 d5f6 h7g6 a6a5 h3h4 a5a4 h4h5 a4a3 h5h6 a3a2 h6h7 f6h7 g7g8q a2a1q g6h7 a1h1 h7g7 h1g1 g7f8 g1g8 f8g8 e5d4 g8f7 d4c5 f7e6 b7b5 e6e5 b5b4 e5e4 b4b3 e4d3 c5b4 d3d2 b3b2 d2c2 b4a3 c2b1 c7c6 b1c2 c6c5 c2b1 c5c4 b1c2 a3a2 c2c3 a2a1 c3c4 a1a2 c4c3 b2b1q c3c4 b1e4 c4c5 e4e6 c5d4 a2b3 d4c5 b3a2 c5d4 a2b3 d4d3 b3b4 d3d4 b4b3 d4d3 b3b4 d3d4 b4b3 d4d3 b3b4 d3d4 b4b3
