game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,256x20_20260611_lr1e-9-20,1-0,256x20_20260611_lr1e-9-20,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 f1d3 c6d4 d3e4 d4f3 d1f3 f6f3 e4f3 f8d6 e1g1 e8g8 c2c4 c7c6 c1e3 d6e5 a1b1 c8d7 b2b4 a7a6 a2a4 b7b5 f1d1 f8d8 g2g3 b5a4 e3b6 d8b8 d1d7 b8b6 c4c5 b6b8 f3c6 a4a3 c6a8 b8a8 c5c6 a3a2 b1c1 a2a1q c1a1 e5a1 c6c7 g8f8 d7d8 f8e7 d8a8 e7d7 c7c8q d7d6 a8a6 d6e5 a6a1 e5f6 f2f4 g7g6 a1a7 h7h5 c8h8 f6f5 h8e5 f5g4 g1g2 f7f5 h2h3
2,Draw,Draw,1/2-1/2,maia-1400,256x20_20260611_lr1e-9-20,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 f1e1 f8g7 d4c6 b7c6 b5a4 e8g8 c1g5 h7h6 g5h4 a8b8 a4b3 a7a5 a2a4 f6h5 a1b1 f8e8 d1f3 d7e6 b3e6 f7e6 f3g4 g8h7 g4e6 h5f4 e6g4 e8f8 c3e2 h6h5 g4g3 f4e2 e1e2 b8b2 b1b2 g7b2 c2c3 b2c1 h2h3 c1f4 g3d3 f4e5 h4g3 e5g3 d3g3 e7e5 g3d3 h7g7 e2d2 f8f6 d3a6 d8c7 d2b2 f6f7 b2b6 h5h4 b6c6 c7b8 c6b6 b8c7 b6c6 c7b8 c6b6 b8c7 b6c6 c7b8 c6b6 b8c7 b6c6 c7b8 c6b6 b8c7 b6c6
3,Loss,maia-1400,0-1,256x20_20260611_lr1e-9-20,maia-1400,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5 f6d5 e4d5 d8e7 f1e2 c6e5 e1g1 e5f3 e2f3 e7f6 f1e1 f8e7 d1e2 d7d6 c1d2 c8d7 f3g4 d7g4 e2g4 e8g8 e1e4 a8e8 a1e1 h7h6 h2h4 c7c6 h4h5 c6d5 e4d4 e7d8 e1e8 f8e8 d4d5 d8b6 c2c4 f6f2 g1h2 f2g1 h2g3 b6f2 g3f3 g1d1 f3f2 d1g4 d5d6 e8e2 f2f1 g4g2
4,Win,256x20_20260611_lr1e-9-20,0-1,maia-1400,256x20_20260611_lr1e-9-20,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 c1g5 f8g7 d4c6 b7c6 b5c4 e8g8 f1e1 h7h6 g5h4 a8b8 b2b3 g6g5 h4g3 f6h5 d1h5 g7c3 h5h6 e7e5 a1d1 d7e6 c4e6 f7e6 e1e3 c3d4 h6e6 g8g7 e3d3 c6c5 c2c3 f8e8 e6f5 e8f8 f5g4 d8e7 c3d4 c5d4 h2h4 g7h6 h4g5 h6g7 g3h4 f8f4 g4h5 b8h8 h5h8 g7h8 d3h3 h8g8 g5g6 e7e6 f2f3 f4f8 h3g3 a7a5 g6g7 f8e8 g1f2 a5a4 b3a4 e6a2 f2g1 a2a4 d1f1 a4b3 f3f4 d4d3 f4e5 d6e5 h4f6 b3b6 g1h2 d3d2 g3d3 b6a6 f1f3 d2d1q d3d1 a6e6 d1f1 e6d7 f3h3 d7e6 h3h8 g8f7 h8e8 e6e8 f6e5 f7g6 f1f6 g6h7 f6f8 e8e5 g2g3 h7g7 f8f5 e5e4 f5f4 e4e2 h2h3 g7g6 f4g4 g6h5 g4h4 h5g5 h4h8 e2f1 h3h2 f1f2 h2h3 f2g1 h8g8 g5f5 g8f8 f5g5 f8g8 g5f5 g8f8 f5g5 f8g8 g5f5 g8f8 f5g6 f8g8 g6h5 g8h8 h5g5 h8g8 g5f5 g8f8 f5g6 f8g8 g6f7 g8h8 g1h1 h3g4 h1h8 g4f4 h8d4 f4f3 f7g6 f3g2 d4e3 g2h3 e3f2 g3g4 f2g1 g4g5 g6f5 g5g6 f5f4 g6g7 g1h1
5,Loss,maia-1400,0-1,256x20_20260611_lr1e-9-20,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 f1d3 c6d4 f3d4 f6d4 e1g1 f8d6 c2c3 d4e5 f2f4 e5c5 g1h1 e8g8 d1e2 c8d7 b2b4 c5c3 c1b2 c3b4 a1b1 b4a5 b2c3 a5c3 d3h7 g8h7 e2h5 h7g8 b1b3 c3c4 b3f3 d7c6 f3f2 d6c5 f2f3 c6f3 h5f3 c4a2 f4f5 e6f5 h2h4 a2e6 h4h5 e6h6 g2g4 f5g4 f3g4 a8e8 h1g2 h6d2 g2h3 e8e3 g4f3 e3f3 f1f3 c5d6 h5h6 d2h2 h3g4 h2h6 f3f2 h6g6 g4f3 g6f5 f3e2 f8e8 e2f1 f5d3 f1g2 e8e2 g2f1 e2f2 f1f2 d6c5 f2e1 d3c2 e1f1 c2f2
6,Loss,maia-1400,1-0,maia-1400,256x20_20260611_lr1e-9-20,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 f1e1 f8g7 d4c6 b7c6 b5a4 e8g8 c1g5 h7h6 g5h4 a8b8 a4b3 a7a5 a2a4 d7e6 b3e6 f7e6 a1b1 f6d7 d1g4 g6g5 h4g3 b8b2 g4e6 f8f7 b1b2 g7c3 b2b1 c3e1 b1e1 d7f8 e6h6 e7e5 e1d1 d8e7 d1d6 f7f6 d6f6 e7f6 h6f6 f8d7 f6g5 g8f7 g3e5 d7e5 g5e5 f7f8 e5d6 f8g7 d6c6 g7f7 e4e5 f7e7 e5e6 e7f6 c6d7 f6e5 e6e7 e5f4 e7e8q f4g5 d7f7 g5h4 e8h8 h4g4 h8h5
7,Win,256x20_20260611_lr1e-9-20,1-0,256x20_20260611_lr1e-9-20,maia-1400,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5 f6d5 e4d5 d8e7 f1e2 c6e5 e1g1 e5f3 e2f3 e7f6 f1e1 f8e7 d1e2 d7d6 c1d2 c8d7 f3g4 d7g4 e2g4 e8g8 e1e4 a8e8 a1e1 c7c5 h2h4 h7h6 h4h5 g8h8 g4d7 e8d8 d7e7 f6e7 e4e7 d8b8 e7d7 f8d8 e1e7 d8d7 e7d7 b8e8 g1f1 e8e5 g2g4 e5d5 f2f4 h8g8 f4f5 g8f8 f5f6 g7f6 d2h6 f8e8 d7b7 d4d3 c2d3 d5d3 h6g7 d3f3 f1g2 f3f4 h5h6 f4g4 g2f3 g4h4 b7a7 h4h3 f3g4 h3h1 a2a4 h1g1 g4f3 g1h1 a4a5 h1h3 f3g4 h3h1 a5a6 h1g1 g4f3 g1f1 f3e2 f1h1 a7b7 h1h2 e2f3 h2h3 f3g4 h3h1 a6a7 h1g1 g4f3 g1f1 f3e2 f1a1 h6h7 a1a7 h7h8q
8,Loss,maia-1400,1-0,maia-1400,256x20_20260611_lr1e-9-20,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 c1g5 f8g7 d4c6 b7c6 b5c4 e8g8 f1e1 h7h6 g5h4 f6g4 h2h3 g4e5 c4b3 g6g5 h4g3 a7a5 a2a4 a8b8 a1b1 d8c7 c3e2 c6c5 e2c3 c5c4 b3a2 c7c5 c3d5 f8e8 b2b3 e7e6 d5e3 c4b3 c2b3 d7c6 b1c1 c5b6 d1d6 e8d8 d6c5 b6c5 c1c5 b8c8 g3e5 g7e5 c5e5 d8d2 a2b1 c6b7 e5a5 c8c3 a5b5 b7c6 b5b8 g8g7 b8c8 h6h5 e3c4 c3c4 b3c4 c6a4 c4c5 g5g4 h3g4 h5g4 c5c6 g4g3 f2g3 g7f6 c6c7 f6e7 c8a8 a4d7 c7c8q d7c8 a8c8 e7f6 e1f1 f6e7 c8c7 e7d8 c7f7 d8e8 f7f8 e8d7 f1f7 d7c6 f8c8 c6b6 c8b8 b6c5 f7c7 c5d4 b8d8 d4e3 d8d2 e3d2 g1f2 d2d1 f2e3 e6e5 g3g4 d1e1 g4g5 e1f1 g5g6 f1g2 g6g7 g2g3 g7g8q g3h2 c7h7
9,Draw,Draw,1/2-1/2,256x20_20260611_lr1e-9-20,maia-1400,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5 f6d5 e4d5 c6e7 d1d4 d7d6 f1d3 c8f5 e1g1 f5d3 d4d3 g7g6 f1e1 f8g7 c1g5 f7f6 f3d4 f6g5 d4e6 d8d7 e6g7 e8f7 g7e6 e7f5 g2g4 f5h4 f2f4 g5f4 e1e4 g6g5 a1f1 a8e8 c2c4 h7h6 b2b4 h4g6 h2h4 g6e5 d3c2 e5g4 e4f4 g5f4 f1f4 g4f6 f4f6 f7f6 c2b2 f6g6 h4h5 g6h5 b2e2 h5g6 e2e4 g6f6 e4f4 f6e7 f4h4 e7f7 h4h5 f7e7 h5h4 e7f7 h4h5 f7e7 h5h4 e7f7 h4h5 f7e7 h5h4 e7f7 h4f2 f7e7 f2h4
10,Loss,maia-1400,1-0,maia-1400,256x20_20260611_lr1e-9-20,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 c1g5 f8g7 d4c6 b7c6 b5c4 e8g8 f1e1 h7h6 g5h4 a8b8 b2b3 f6g4 d1d2 g6g5 h4g3 g4e5 g3e5 g7e5 a1d1 d8c7 c3e2 a7a5 e2g3 a5a4 g3f5 g8h7 f5e7 a4b3 a2b3 d7g4 f2f3 e5f4 d2d3 f4e5 f3g4 c7e7 e1f1 h7g7 d3f3 b8a8 f3f5 a8a2 d1d2 e5f4 d2f2 e7e5 g2g3 f4e3 f5e5 d6e5 g1g2 e3f2 f1f2 f7f6 h2h4 f8d8 h4g5 h6g5 c4d3 a2a1 f2f1 a1f1 g2f1 g7f7 f1e2 f7e7 e2e3 e7d6 d3c4 d6c5 c2c3 c5b6 b3b4 d8d1 c4e2 d1c1 c3c4 c6c5 b4b5 b6a5 e2d3 a5b4 b5b6 b4c3 b6b7 c1e1 e3f2 c3d2 b7b8q d2d3 f2e1 d3e4 b8d6 e4f3 d6f6 f3g2 f6g5 g2f3 g5e5 f3g2 e5c5 g2f3 g4g5 f3e4 g5g6 e4f3 g6g7 f3g2 g7g8q g2h2 c5h5 h2g2 g8d5 g2g1 h5h1
