game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,192x16_20260522_lr1e-9-10,1-0,192x16_20260522_lr1e-9-10,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 c6d4 f3d4 c5d4 e1g1 a7a6 b5e2 e7e5 c2c3 f8c5 b2b4 c5a7 d2d3 d4c3 b1c3 g8e7 c1g5 f7f6 e2h5 g7g6 g5f6 e8g8 d1b3 f8f7 c3d5 g6h5 d5e7 g8f8 e7g6 f8e8 f6d8 h7g6 d8c7 a7d4 a1c1 b7b5 b3d5 a8a7 c7e5 c8b7 d5d4 a7a8 c1c7 b7c6 d4d6 f7e7 d6g6 e8d8 c7c6 d7c6 g6d6 d8e8 d6g6 e8d7 g6d6 d7e8 d6g6 e8d7 g6d6 d7e8 d6g6 e8d7 g6d6 d7e8 d6c6 e8f7 c6f6 f7e8 f6c6 e8f7 c6a8 e7e5 a8a6 h5h4 f2f4 e5e6 a6a7 e6e7 a7b6 e7e6 b6b7 e6e7 b7a6 e7e6 a6b7 e6e7 b7a6 e7e6 a6b7 e6e7 b7b6 e7e6 b6b7 e6e7 b7d5 f7e8 d5b5 e8f7 b5f5 f7e8 f1c1 e7f7 f5e6 e8f8 c1c8 f8g7 e6e5 g7g6 c8g8 g6h6 e5g5 h6h7 g5g6
2,Win,192x16_20260522_lr1e-9-10,0-1,maia-2200,192x16_20260522_lr1e-9-10,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 f8e7 f1d3 d6d5 e1g1 e8g8 c2c4 e4f6 b1c3 b8c6 h2h3 c6b4 d3b1 d5c4 a2a3 b4d5 d1c2 c7c6 c1g5 g7g6 f1e1 c8f5 c2c1 f5b1 a1b1 f8e8 f3e5 f6h5 g5e7 e8e7 e5c4 d5f4 c1d2 e7e1 b1e1 d8g5 g2g3 f4h3 g1g2 h5f4 g2h2 g5h6 g3f4 h3f4 h2g3 g6g5 e1h1 h6h1 d2f4 g5f4 g3f4 a8d8 f4e3 h1c1 e3d3 c1f1 c3e2 d8e8 c4e3 f1f2 d3d2 e8e3 d4d5 c6d5 d2d1 f2f1 d1d2 f1f2 d2d1 e3e2 d1c1 f2f1
3,Win,192x16_20260522_lr1e-9-10,1-0,192x16_20260522_lr1e-9-10,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 f1e1 g8f6 e4e5 f6d5 b5c6 d7c6 h2h3 e8g8 d2d3 d8c7 b1d2 b7b5 d2b3 c7b6 a2a4 a7a5 d1e2 c8e6 f3g5 e6f5 g2g4 f5d7 g5e4 c5c4 b3c5 d7c8 d3d4 f7f5 e5f6 e7f6 e4d6 f6f5 c2c3 f5g4 h3g4 b6c7 d6c8 a8c8 c5e6 c7f7 e6f8 c8f8 a4b5 c6b5 a1a5 b5b4 c1d2 b4c3 b2c3 d5f4 d2f4 f7f4 a5a7 h7h5 g4h5 g6h5 e2e6 g8h8 e6e3 f4g4 e3g3 g4g3 f2g3 f8f3 e1e8 h8h7 e8e7 f3g3 g1f2 h5h4 e7e3 g3g6 a7c7 g6f6 f2g2 f6g6 g2h3 h7h6 c7c4 g7f6 c4c6 h6g7 e3f3 g7f7 d4d5 f7e7 c3c4 g6g1 c6f6 g1h1 h3g4 h4h3 d5d6 e7d7 c4c5 h3h2 f6f7 d7c6 f7c7 c6d5 d6d7 h1g1 g4f4 h2h1q d7d8q d5c4 d8d3 c4b4 d3b3 b4a5 c7a7
4,Draw,Draw,1/2-1/2,maia-2200,192x16_20260522_lr1e-9-10,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 c8f5 f1d3 f8e7 e1g1 e8g8 f1e1 d6d5 b1d2 e4d6 d3f5 d6f5 d2f1 b8d7 f1g3 f5g3 h2g3 f8e8 c1f4 c7c6 d1d3 d7f6 f3e5 e7d6 c2c3 h7h6 e1e2 d8c7 a1e1 e8e6 e5f7 e6e2 f7h6 g7h6 d3g6 c7g7 g6g7 g8g7 e1e2 d6f4 g3f4 a8e8 e2e8 f6e8 g2g4 e8d6 g1g2 d6c4 b2b3 c4d6 g2f3 d6b5 c3c4 b5d4 f3e3 d4c2 e3d3 c2b4 d3d4 d5c4 d4c4 b4a2 b3b4 a2c1 b4b5 c6b5 c4b5 c1d3 f4f5 d3f2 b5c5 f2g4 c5d6 h6h5 d6e6 h5h4 e6e7 h4h3 f5f6 g4f6 e7d6 h3h2 d6c7 h2h1q c7b8 a7a5 b8a7 a5a4 a7b6 a4a3 b6c7 a3a2 c7d6 h1c6 d6e5 a2a1n e5f4 c6e4 f4g3 e4e2 g3f4 e2e4 f4g3 e4e2 g3f4 e2e4 f4g3 e4e2 g3f4 e2e4 f4g3 e4e2 g3f4 e2e4
5,Win,192x16_20260522_lr1e-9-10,1-0,192x16_20260522_lr1e-9-10,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 c6d4 f3d4 c5d4 c2c3 d4c3 b1c3 e7e6 d2d4 a7a6 b5d3 b7b5 e1g1 c8b7 c1f4 g8f6 a1c1 f8e7 d4d5 e8g8 d5d6 f8e8 d6e7 d8e7 e4e5 f6d5 c3d5 b7d5 d1g4 f7f5 e5f6 e7f6 f1e1 e8f8 f4e5 f6f2 g1h1 f8f7 e1f1 f2e3 d3h7 g8h7 g4h5 e3h6 h5f7 h6g5 e5g3 d5c6 f1f4 e6e5 f4h4 g5h4 g3h4 c6e4 h4f6 e4g2 h1g1 h7h6 f6g7 h6g5 g1g2 e5e4 c1c5 d7d5 c5d5 g5g4 f7f5 g4h4 f5h5
6,Draw,Draw,1/2-1/2,maia-2200,192x16_20260522_lr1e-9-10,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 f8e7 f1d3 d6d5 e1g1 e8g8 c2c4 e4f6 b1c3 b8c6 h2h3 c6b4 d3b1 d5c4 a2a3 b4d5 d1c2 c7c6 c1g5 g7g6 f1e1 c8f5 c2c1 f5b1 a1b1 f8e8 f3e5 f6h5 g5e7 e8e7 e5c4 d5f4 c1d2 e7d7 b1d1 d8g5 g2g3 f4h3 g1g2 h5f4 g2h2 g5h5 g3f4 h3g5 h2g1 g5f3 g1f1 f3d2 d1d2 a8d8 c3e4 h5h1 f1e2 h1e4 e2d1 e4b1 d1e2 b1e4 e2d1 e4b1 d1e2 b1e4 e2d1 e4b1 d1e2 b1e4 e2d1 e4b1 d1e2 b1e4
7,Win,192x16_20260522_lr1e-9-10,1-0,192x16_20260522_lr1e-9-10,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 f1e1 g8f6 e4e5 f6d5 b5c6 d7c6 h2h3 e8g8 d2d3 d8c7 b1d2 b7b5 d2e4 c5c4 e4c5 c4d3 c2d3 a7a5 a2a4 d5b4 c1d2 f8d8 d3d4 c8f5 d2b4 a5b4 g2g4 f5c8 d1b3 b5a4 a1a4 a8a4 b3a4 c7b6 g1g2 h7h5 g4h5 g6h5 a4c2 d8d5 e1a1 f7f6 a1a8 d5d8 c2g6 b6c7 f3h4 f6e5 c5e6 c8e6 g6e6 g8h7 e6g6 h7g8 h4f5 g8f8 g6g7 f8e8 g7g6 e8d7 a8a6 c7b7 a6a5 c6c5 g2h2 e5d4 a5c5 b7f3 h2g1 d8g8 g6g8 f3d1 g1h2 d1g4 g8c8
8,Draw,Draw,1/2-1/2,maia-2200,192x16_20260522_lr1e-9-10,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 c8f5 f1d3 f8e7 e1g1 e8g8 f1e1 d6d5 b1d2 e4d6 d3f5 d6f5 d2f1 b8d7 f1g3 f5g3 h2g3 f8e8 c1f4 c7c6 d1d3 d7f6 f3e5 e7d6 c2c3 h7h6 e1e2 d8c7 a1e1 e8e6 e5f7 e6e2 f7h6 g7h6 d3g6 c7g7 g6g7 g8g7 e1e2 d6f4 g3f4 a8e8 e2e8 f6e8 g2g4 e8d6 g1g2 d6c4 b2b3 c4d6 g2f3 d6b5 c3c4 b5d4 f3e3 d4c2 e3d3 c2b4 d3d4 d5c4 d4c4 b4a2 b3b4 a2c1 b4b5 c6b5 c4b5 c1d3 f4f5 d3f2 b5c5 f2g4 c5d6 h6h5 d6e6 h5h4 e6e7 h4h3 f5f6 g4f6 e7d6 h3h2 d6c7 h2h1q c7b8 a7a5 b8a7 a5a4 a7b6 a4a3 b6c7 a3a2 c7d6 h1c6 d6e5 a2a1n e5f4 c6e4 f4g3 e4e2 g3f4 e2e4 f4g3 e4e2 g3f4 e2e4 f4g3 e4e2 g3f4 e2e4 f4g3 e4e2 g3f4 e2e4
9,Win,192x16_20260522_lr1e-9-10,1-0,192x16_20260522_lr1e-9-10,maia-2200,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 g1f3 g8f6 d2d4 c8g4 h2h3 g4h5 g2g4 h5g6 f3e5 b8d7 e5c4 a5a6 h3h4 h7h6 c4e5 a6e6 f1c4 e6d6 e5g6 f7g6 d1d3 e8c8 c3b5 d6b6 c1e3 f6g4 e1c1 g4e3 f2e3 a7a6 b5c3 e7e5 c1b1 e5d4 e3d4 d7f6 h1e1 f8b4 e1e6 b6a5 c3e4 f6e4 d3e4 a5f5 e4g2 h8e8 e6g6 f5e4 a2a3 d8d4 d1d4 e4d4 c4e6 c8b8 a3b4 d4b4 g2g4 b4e1 b1a2 e1e6 g6e6 e8e6 g4e6 b8a7 h4h5 c7c6 e6e5 a7b6 e5d4 b6c7 d4g7 c7b6 g7h6 a6a5 h6e6 a5a4 h5h6 b6b5 h6h7 b7b6 e6e5 c6c5 e5e4 a4a3 e4e2 b5c6 h7h8n a3b2 e2e6 c6b5 a2b1 c5c4 e6d7 b5c5 h8f7 c4c3 d7c8 c5b4 f7d6 b6b5 c8c6 b4a3 c6c5 a3a4 c5b5 a4a3 b5b3
10,Win,192x16_20260522_lr1e-9-10,0-1,maia-2200,192x16_20260522_lr1e-9-10,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 b1c3 e4c3 d2c3 f8e7 c1e3 e8g8 d1d2 b8d7 e1c1 d7f6 f1d3 c7c5 h2h4 d8a5 c1b1 c8e6 c3c4 a5d2 d1d2 h7h6 b2b3 d6d5 c4d5 f6d5 d3e4 d5c3 b1b2 c3e4 d2d3 e7f6 b2c1 c5c4 b3c4 e6c4 d3d7 e4c3 d7b7 c3a2 c1b1 f8b8 b7b2 f6b2 f3e5 a2c3
