game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,256x20_20260611_lr1e-9-70,1-0,256x20_20260611_lr1e-9-70,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 f1d3 c6d4 f3d4 f6d4 e1g1 f8d6 c2c3 d4e5 f2f4 e5c5 g1h1 e8g8 d1e2 c8d7 b2b4 c5c3 c1b2 c3b4 a1b1 b4f4 f1f4 d6f4 e2f3 f4d6 f3g4 f7f6 g4h5 g7g6 h5h4 e6e5 d3e4 d7c6 e4c6 b7c6 h4c4 g8g7 b2c3 a8b8 b1f1 b8b6 a2a4 f8b8 g2g4 b6b1 h2h4 b1f1 c4f1 b8b3 f1c4 b3b1 h1g2 b1c1 c4b3 d6c5 g4g5 c1g1 g2h3 g1h1 h3g3 h1g1 g3h2 g1g4 h2h3 g4f4 g5f6 g7f6 c3d2 f4d4 d2e3 d4b4 b3c3 c5e3 c3b4 f6f5 b4e7 e3b6 a4a5 b6a5 e7h7 a5b6 h4h5 e5e4 h7g6 f5e5 h5h6 e4e3 h6h7 e3e2 h7h8q e5d5 g6f5 d5c4 f5e4 b6d4 h8d4 c4b3 e4d3 b3a2 d3c2 a2a3 c2b2
2,Loss,maia-1400,1-0,maia-1400,256x20_20260611_lr1e-9-70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 f1e1 f8g7 d4c6 b7c6 b5a4 e8g8 c1g5 h7h6 g5h4 a8b8 a4b3 a7a5 a2a4 d7e6 b3e6 f7e6 a1b1 f6d7 d1g4 g8h7 g4e6 b8b2 b1b2 d7c5 e6e7 d8e7 h4e7 g7c3 e7f8 c3b2 f8d6 c5a4 e4e5 a4b6 e5e6 b6d5 e6e7 d5f6 e7e8q f6e8 e1e8 a5a4 e8a8 a4a3 d6a3 b2a3 a8a3 h7g7 a3c3 g7f7 c3c6 f7g7 c2c4 g7f7 c4c5 h6h5 c6d6 h5h4 c5c6 f7e7 d6g6 e7d8 g6g7 d8c8 f2f4 c8d8 f4f5 h4h3 g2h3 d8c8 f5f6 c8b8 f6f7 b8c7 f7f8q c7b6 c6c7 b6c6 c7c8q c6d5 g7e7 d5d6 f8d8
3,Loss,maia-1400,0-1,256x20_20260611_lr1e-9-70,maia-1400,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5 f6d5 e4d5 d8e7 f1e2 c6e5 e1g1 e5f3 e2f3 e7f6 f1e1 f8e7 d1e2 d7d6 f3g4 c8g4 e2g4 e8g8 c1d2 f8e8 e1e4 c7c5 a1e1 b7b5 h2h4 h7h6 b2b4 c5c4 a2a4 b5a4 d2c3 d4c3 e4e7 e8e7 e1e7 f6e7 g4c4 e7e1 g1h2 e1f2 h2h3 f2c2 b4b5 a4a3 b5b6 a7b6 h3h2 a3a2 h4h5 a2a1q h2g3 a1e1 g3h3 c2f5 h3h2 f5h5 c4h4 h5h4
4,Loss,maia-1400,1-0,maia-1400,256x20_20260611_lr1e-9-70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 c1g5 f8g7 d4c6 b7c6 b5c4 e8g8 f1e1 h7h6 g5h4 f6g4 h2h3 g4e5 c4b3 g6g5 h4g3 a7a5 a2a4 a8b8 a1b1 d8c7 c3e2 c6c5 e2c3 c5c4 b3a2 c7c5 c3d5 f8e8 b2b3 e7e6 d5e3 d7c6 e3c4 e5c4 b3c4 b8b1 d1b1 c6a4 a2b3 a4c6 b1d1 a5a4 b3a2 e8d8 d1f3 f7f5 f3e3 f5f4 e3c5 d6c5 g3h2 d8d2 a2b1 a4a3 g2g3 g7d4 g3f4 g5f4 h2f4 d2f2 f4e3 d4e3 e1e3 a3a2 b1a2 f2c2 a2b3 c2b2 b3d1 b2b1 e3e1 g8f7 g1f2 b1c1 d1h5 f7f6 e1c1 f6g5 h5g4 g5f6 f2e3 f6e5 g4f3 c6b7 c1b1 b7c6 b1b6 e5d6 e4e5 d6e5 b6c6 e5f5 c6c5 f5f6 c5h5 f6g6 c4c5 g6f7 c5c6 f7e7 h5h6 e7d6 h3h4 d6c7 h6e6 c7b6 h4h5 b6c5 h5h6 c5b6 h6h7 b6c5 h7h8q c5b6 c6c7 b6c5 c7c8q c5b5 h8h5 b5a4 e6b6 a4a3 c8a8
5,Win,256x20_20260611_lr1e-9-70,1-0,256x20_20260611_lr1e-9-70,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 f1d3 c6d4 f3d4 f6d4 e1g1 f8d6 c2c3 d4e5 f2f4 e5c5 g1h1 e8g8 d1e2 c8d7 b2b4 c5c3 c1b2 c3b4 a1b1 b4f4 f1f4 d6f4 e2f3 f4d6 f3g4 f7f6 g4h5 g7g6 h5h4 e6e5 d3e4 d7c6 e4c6 b7c6 h4c4 g8g7 b2c3 a8b8 b1f1 b8b6 a2a4 f8b8 g2g4 b6b1 h2h4 b1f1 c4f1 b8b3 f1c4 b3b1 h1g2 b1c1 c4b3 d6c5 g4g5 c1g1 g2h3 g1h1 h3g3 h1g1 g3h2 g1g4 h2h3 g4f4 g5f6 g7f6 c3d2 f4d4 d2e3 d4b4 b3c3 c5e3 c3b4 f6f5 b4e7 e3b6 a4a5 b6a5 e7h7 a5b6 h4h5 e5e4 h7g6 f5e5 h5h6 e4e3 h6h7 e3e2 h7h8q e5d5 g6f5 d5c4 f5e4 b6d4 h8d4 c4b3 e4d3 b3a2 d3c2 a2a3 c2b2
6,Loss,maia-1400,1-0,maia-1400,256x20_20260611_lr1e-9-70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 f1e1 f8g7 d4c6 b7c6 b5a4 e8g8 c1g5 h7h6 g5h4 a8b8 a4b3 a7a5 a2a4 d7e6 b3e6 f7e6 a1b1 f6d7 d1g4 g8h7 g4e6 b8b2 b1b2 d7c5 e6e7 d8e7 h4e7 g7c3 e7f8 c3b2 f8d6 c5a4 e4e5 a4b6 e5e6 b6d5 e6e7 d5f6 e7e8q f6e8 e1e8 a5a4 e8a8 a4a3 d6a3 b2a3 a8a3 h7g7 a3c3 g7f7 c3c6 f7g7 c2c4 g7f7 c4c5 h6h5 c6d6 h5h4 c5c6 f7e7 d6g6 e7d8 g6g7 d8c8 f2f4 c8d8 f4f5 h4h3 g2h3 d8c8 f5f6 c8b8 f6f7 b8c7 f7f8q c7b6 c6c7 b6c6 c7c8q c6d5 g7e7 d5d6 f8d8
7,Loss,maia-1400,0-1,256x20_20260611_lr1e-9-70,maia-1400,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5 f6d5 e4d5 d8e7 f1e2 c6e5 e1g1 e5f3 e2f3 e7f6 f1e1 f8e7 d1e2 d7d6 f3g4 c8g4 e2g4 e8g8 c1d2 f8e8 e1e4 c7c5 a1e1 b7b5 h2h4 h7h6 b2b4 c5c4 a2a4 b5a4 d2c3 d4c3 e4e7 e8e7 e1e7 f6e7 g4c4 e7e1 g1h2 e1f2 h2h3 f2c2 b4b5 a4a3 b5b6 a7b6 h3h2 a3a2 h4h5 a2a1q h2g3 a1e1 g3h3 c2f5 h3h2 f5h5 c4h4 h5h4
8,Loss,maia-1400,1-0,maia-1400,256x20_20260611_lr1e-9-70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 c1g5 f8g7 d4c6 b7c6 b5c4 e8g8 f1e1 h7h6 g5h4 f6g4 h2h3 g4e5 c4b3 g6g5 h4g3 a7a5 a2a4 a8b8 a1b1 d8c7 c3e2 c6c5 e2c3 c5c4 b3a2 c7c5 c3d5 f8e8 b2b3 e7e6 d5e3 c4b3 c2b3 d7c6 b1c1 c5b6 d1d6 e8d8 d6c5 b6c5 c1c5 b8c8 g3e5 g7e5 c5e5 d8d2 a2b1 c6b7 e5a5 c8c3 a5b5 b7c6 b5b8 g8g7 b8c8 h6h5 e3c4 c3c4 b3c4 c6a4 c4c5 g5g4 h3g4 h5g4 c5c6 g4g3 f2g3 g7f6 c6c7 f6e7 c8a8 a4b3 c7c8q e7f6 e4e5 f6g5 c8g8 g5h5 g8h7 h5g5 a8g8
9,Win,256x20_20260611_lr1e-9-70,1-0,256x20_20260611_lr1e-9-70,maia-1400,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5 f6d5 e4d5 c6e7 f1c4 d7d6 e1g1 c8g4 f1e1 d8d7 h2h3 g4h5 g2g4 h5g6 f3d4 e8c8 a2a4 h7h5 a4a5 h5g4 a5a6 b7b6 c4b5 c7c6 d5c6 d7c7 d1g4 c8b8 c1g5 f7f6 g5f4 g6h5 g4g3 g7g5 f4g5 f6g5 d4e6 c7c8 c6c7 b8a8 c7d8q c8d8 e6d8 e7f5 b5c6 a8b8 g3g5 f5d4 g5f6 h8g8 g1h2 d4f3 h2h1 f3e1 d8e6 h5f3 h1h2 g8g2 h2h1 g2f2 h1g1 f2g2 g1f1 f3e2 f1e1 g2g1 e1f2 g1g2 f2g2 f8e7 f6e7 e2c4 e7f8
10,Draw,Draw,1/2-1/2,maia-1400,256x20_20260611_lr1e-9-70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1b5 c8d7 e1g1 g7g6 c1g5 f8g7 d4c6 b7c6 b5c4 e8g8 f1e1 h7h6 g5h4 f6g4 h2h3 g4e5 c4b3 g6g5 h4g3 a7a5 a2a4 a8b8 a1b1 d8c7 c3e2 c6c5 e2c3 c5c4 b3a2 c7c5 c3d5 e7e6 d5e7 g8h7 b2b3 f8e8 g3e5 g7e5 b3c4 b8b1 d1b1 e8e7 b1b7 e5d4 e1f1 f7f5 e4f5 e6f5 a2b1 h7g7 b1a2 g5g4 h3g4 f5g4 g2g3 e7f7 b7e4 d7c6 e4g4 g7f8 g4c8 f8g7 c8g4 g7f8 g4c8 f8g7 c8g4 g7f8 g4c8 f8g7 c8g4 g7h8 g4c8 h8g7 c8g4
