game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Draw,Draw,1/2-1/2,48x5_20260617_lr1e-9-280,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 c6d4 b5e2 d4e2 d1e2 e7e6 e1g1 g8e7 d2d4 c5d4 f3d4 e7c6 f1d1 f8e7 b1c3 e8g8 c1e3 a7a6 d4c6 b7c6 c3a4 a8b8 b2b3 d7d5 e3f4 e7d6 f4d6 d8d6 e4e5 d6e7 c2c4 f8d8 a1c1 c8b7 c4c5 e7g5 e2e3 g5g6 e3d4 b7a8 a4b6 a8b7 h2h3 a6a5 a2a3 b7a6 c1c3 a6e2 d1d2 e2b5 c3g3 g6h6 a3a4 b5a6 f2f4 g7g6 g3c3 h6h4 g1h2 h4e1 d2d1 e1e4 d4e4 d5e4 d1d6 a6d3 b6d7 b8c8 d7f6 g8g7 h2g3 h7h5 g3f2 h5h4 f2e3 d3f1 c3c2 c8b8 c2d2 b8b3 e3e4 d8b8 d6d8 b8b4 d8d4 b4d4 e4d4 b3b4 d4e3 b4a4 f6e8 g7f8 e8f6 a4c4 d2d8 f8g7 d8g8 g7h6 g8h8 h6g7 h8g8 g7h6 f6g4 h6h7 g4f6 h7h6 g8h8 h6g7 h8h7 g7f8 h7h8 f8g7 h8h7 g7f8 h7h8 f8g7 h8h7 g7f8 h7h8 f8g7
2,Loss,maia-2200,1-0,maia-2200,48x5_20260617_lr1e-9-280,e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 f1e1 a7a6 b5f1 d7d5 e4d5 e7d5 d2d4 c5d4 f3d4 f8c5 d4c6 b7c6 c2c4 d5e7 d1d8 e8d8 b1c3 d8c7 c1f4 c7b7 c3e4 c5b4 e1d1 f7f6 a2a3 b4a5 b2b4 a5c7 e4d6 c7d6 f4d6 e7f5 d6c5 e6e5 a3a4 b7c7 b4b5 h8d8 b5b6 c7b7 d1d8 f5d4 c5d4 e5d4 c4c5 a6a5 d8d4 c8e6 f1c4 e6c4 d4c4 a8d8 a1e1 d8d7 g2g3 h7h5 h2h4 g7g5 h4g5 f6g5 e1e5 d7d1 g1g2 g5g4 e5e7 b7b8 c4f4 d1d5 f4f8 d5d8 f8d8
3,Win,48x5_20260617_lr1e-9-280,1-0,48x5_20260617_lr1e-9-280,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 e8g8 b1c3 d5c3 b2c3 d7d6 e5d6 d8d6 f1e1 c8g4 h2h3 g4f3 d1f3 e7e5 d4d5 c6e7 c3c4 a7a6 b5a4 b7b5 a4b3 b5c4 b3c4 a8c8 c4b3 e7f5 c1b2 f5d4 b2d4 e5d4 a1c1 c8c1 e1c1 f8e8 b3a4 e8d8 a4b3 g7h6 c1c6 d6e5 d5d6 e5e1 g1h2 e1e5 g2g3 d8f8 d6d7 e5e7 f3d5 f8d8 c6c8 d4d3 c8d8 e7d8 d5f7 g8h8 f7e8 h6f8 e8d8 h8g7 d8c7 f8e7 d7d8q g7h6 d8e7 d3d2 c7f4 h6h5 e7h7
4,Loss,maia-2200,1-0,maia-2200,48x5_20260617_lr1e-9-280,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 g8e7 g1f3 b8c6 f1d3 c5d4 c3d4 h7h6 e1g1 c8d7 b1c3 a7a6 a2a3 e7f5 d3f5 e6f5 c3d5 d7e6 d5f4 g7g5 f4e6 f7e6 d1b3 d8d7 c1e3 f5f4 e3d2 e8c8 a1c1 c8b8 b3b6 d7d5 c1c6 d5c6 b6d8 b8a7 f1c1 c6d5 d8d5 e6d5 d2b4 f8b4 a3b4 g5g4 f3d2 a7b6 c1c5 h8d8 g1f1 h6h5 f1e2 h5h4 h2h3 f4f3 g2f3 g4h3 d2f1 h3h2 f1h2 h4h3 f3f4 d8f8 e2f3 f8e8 f4f5 e8f8 f5f6 f8e8 f6f7 e8f8 e5e6 f8h8 e6e7 a6a5 b4a5 b6a6 e7e8q h8e8 f7e8q a6a7 e8b5 a7b8 b5b6 b8a8 c5c8
5,Draw,Draw,1/2-1/2,48x5_20260617_lr1e-9-280,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 c6d4 b5e2 d4e2 d1e2 e7e6 e1g1 g8e7 d2d4 c5d4 f3d4 e7c6 f1d1 f8e7 b1c3 e8g8 c1e3 a7a6 d4c6 b7c6 c3a4 a8b8 b2b3 d7d5 e3f4 e7d6 f4d6 d8d6 e4e5 d6e7 c2c4 f8d8 a1c1 c8b7 c4c5 e7g5 e2e3 g5g6 e3d4 b7a8 a4b6 a8b7 h2h3 a6a5 a2a3 b7a6 c1c3 a6e2 d1d2 e2b5 c3g3 g6h6 a3a4 b5a6 f2f4 g7g6 g3c3 h6h4 g1h2 h4e1 d2d1 e1e4 d4e4 d5e4 d1d6 a6d3 b6d7 b8c8 d7f6 g8g7 h2g3 h7h5 g3f2 h5h4 f2e3 d3f1 c3c2 c8b8 c2d2 b8b3 e3e4 d8b8 d6d8 b8b4 d8d4 b4d4 e4d4 b3b4 d4e3 b4a4 f6e8 g7f8 e8f6 a4c4 d2d8 f8g7 d8g8 g7h6 g8h8 h6g7 h8g8 g7h6 f6g4 h6h7 g4f6 h7h6 g8h8 h6g7 h8h7 g7f8 h7h8 f8g7 h8h7 g7f8 h7h8 f8g7 h8h7 g7f8 h7h8 f8g7
6,Loss,maia-2200,1-0,maia-2200,48x5_20260617_lr1e-9-280,e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 f1e1 a7a6 b5f1 d7d5 e4d5 e7d5 d2d4 c5d4 f3d4 f8c5 d4c6 b7c6 c2c4 d5e7 d1d8 e8d8 b1c3 d8c7 c1f4 c7b7 c3e4 c5b4 e1d1 f7f6 a2a3 b4a5 b2b4 a5c7 e4d6 c7d6 f4d6 e7f5 d6c5 e6e5 a3a4 b7c7 b4b5 h8d8 b5b6 c7b7 d1d8 f5d4 c5d4 e5d4 c4c5 a6a5 d8d4 c8e6 f1c4 e6c4 d4c4 a8d8 a1e1 d8d7 g2g3 h7h5 h2h4 g7g5 h4g5 f6g5 e1e5 d7d1 g1g2 g5g4 e5e7 b7b8 c4f4 d1d5 f4f8 d5d8 f8d8
7,Win,48x5_20260617_lr1e-9-280,1-0,48x5_20260617_lr1e-9-280,maia-2200,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 e8g8 b1c3 d5c3 b2c3 d7d6 e5d6 d8d6 f1e1 c8g4 h2h3 g4f3 d1f3 e7e5 d4d5 c6e7 c3c4 a7a6 b5a4 b7b5 a4b3 b5c4 b3c4 a8c8 c4b3 e7f5 c1b2 f5d4 b2d4 e5d4 a1c1 c8c1 e1c1 f8e8 b3a4 e8d8 a4b3 g7h6 c1c6 d6e5 d5d6 e5e1 g1h2 e1e5 g2g3 d8f8 d6d7 e5e7 f3d5 f8d8 c6c8 d4d3 c8d8 e7d8 d5f7 g8h8 f7e8 h6f8 e8d8 h8g7 d8c7 f8e7 d7d8q g7h6 d8e7 d3d2 c7f4 h6h5 e7h7
8,Loss,maia-2200,1-0,maia-2200,48x5_20260617_lr1e-9-280,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 g8e7 g1f3 b8c6 f1d3 c5d4 c3d4 h7h6 e1g1 c8d7 b1c3 a7a6 a2a3 e7f5 d3f5 e6f5 c3d5 d7e6 d5f4 g7g5 f4e6 f7e6 d1b3 d8d7 c1e3 f5f4 e3d2 e8c8 a1c1 c8b8 b3b6 d7d5 c1c6 d5c6 b6d8 b8a7 f1c1 c6d5 d8d5 e6d5 d2b4 f8b4 a3b4 g5g4 f3d2 a7b6 c1c5 h8d8 g1f1 h6h5 f1e2 h5h4 h2h3 f4f3 g2f3 g4h3 d2f1 h3h2 f1h2 h4h3 f3f4 d8f8 e2f3 f8e8 f4f5 e8f8 f5f6 f8e8 f6f7 e8f8 e5e6 f8h8 e6e7 a6a5 b4a5 b6a6 e7e8q h8e8 f7e8q a6a7 e8b5 a7b8 b5b6 b8a8 c5c8
9,Draw,Draw,1/2-1/2,48x5_20260617_lr1e-9-280,maia-2200,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 g1f3 g8f6 d2d4 c8g4 h2h3 g4h5 g2g4 h5g6 f3e5 b8d7 e5c4 a5a6 d1e2 e7e6 h3h4 h7h5 g4g5 f6d5 c3d5 e8c8 d5f4 g6f5 c2c3 b7b5 c4e3 f5e4 f2f3 e4b7 a2a4 f8d6 f4d3 d6g3 e1d1 b5a4 e3c2 e6e5 c2b4 a6d6 a1a4 e5d4 a4a7 h8e8 e2g2 d4c3 b2c3 d7c5 d1c2 c5d3 f1d3 d6c5 g2g3 c5a7 g3f4 a7a4 c2b2 d8d3 b4d3 e8e2 c1d2 a4f4 d3f4 e2d2 b2b3 b7f3 h1f1 f3g4 b3c4 d2h2 f4d3 g4e6 c4c5 h2h4 d3f4 h4f4 f1f4 g7g6 c5c6 c8d8 c3c4 e6d7 c6b7 d7e6 b7c6 e6d7 c6b7 d7e6 b7c6 e6d7 c6b7 d7e6 b7c6 e6d7 c6b7 d7e6 c4c5 e6d5 c5c6 d5e6 f4d4 d8e7 b7c7 f7f6 g5f6 e7f6 c7d6 g6g5 c6c7 g5g4 d4f4 f6g5 f4f8 e6f5 d6e5 f5d7 f8g8 g5h4 e5d6 d7f5 d6e5 f5d7 e5d6 d7f5 g8f8 g4g3 f8f5 g3g2 c7c8q g2g1q c8c4 g1g4 c4f4 g4f4 f5f4 h4g3 f4f5 h5h4 f5g5 g3f4 g5h5 f4g4 h5h7 h4h3 d6e5 g4g3 e5e4 h3h2 e4e3 g3g2 h7g7 g2f1 g7h7 f1g2 h7g7 g2f1 g7h7 f1g1 h7g7 g1f1 g7h7 f1g2 h7g7 g2f1 g7h7 f1g1 h7g7 g1f1
10,Draw,Draw,1/2-1/2,maia-2200,48x5_20260617_lr1e-9-280,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 g8e7 g1f3 b8c6 f1d3 c5d4 c3d4 e7f5 d3f5 e6f5 b1c3 f8e7 e1g1 c8e6 a2a3 e8g8 b2b4 a8c8 c1b2 g7g5 a1c1 g5g4 f3e1 e7g5 c1c2 f5f4 c3e2 e6f5 c2c5 b7b6 c5c1 c6e7 c1c8 d8c8 b2c1 e7g6 e1d3 c8c4 d3f4 g6f4 e2f4 g5f4 c1f4 f8c8 f1e1 h7h5 h2h3 c4d3 d1d3 f5d3 h3g4 h5g4 e1c1 c8c4 c1c4 d3c4 g1h2 g8g7 h2g3 c4e2 f2f3 g4f3 g2f3 g7g6 g3g4 e2d1 f4g3 d1e2 g4f4 e2d1 g3h4 d1b3 h4d8 b3c2 d8f6 c2b3 f4g4 b3d1 g4f4 d1b3 f4g4 b3d1 g4f4 d1b3 f4g4 b3d1 g4f4 d1a4 f4g4 a4d1 g4f4 d1a4 f4g4 a4c2 g4f4 c2a4 f4g4 a4b5 f3f4 b5d7 g4f3 g6f5 f3e3 d7a4 f6g5 a4b5 g5d8 b5a4 d8g5 a4b5 g5f6 b5a4 f6d8 a4d7 d8g5 d7a4 g5f6 a4b5 f6d8 b5a4 d8g5 a4b5 g5h6 b5a4 h6f8 a4b5 f8h6 b5a4 h6f8 a4b5 f8h6 b5a4 h6f8 a4b5 f8h6 b5a4 h6f8 a4b5 f8h6
