game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,192x16_20260531_lr1e-9-100,1-0,192x16_20260531_lr1e-9-100,maia-1100,g1f3 e7e6 e2e4 d7d5 e4d5 e6d5 d2d4 g8f6 f1d3 b8c6 e1g1 c8g4 c2c3 f8d6 f1e1 c6e7 h2h3 g4h5 c1g5 e8g8 b1d2 e7g6 g2g4 g6f4 g5f4 d6f4 g4h5 f6h5 d2f1 d8f6 f1e3 f4e3 e1e3 h5f4 d3f1 f6g6 g1h1 a8e8 f3e5 g6f5 d1f3 f7f6 e5d3 e8e3 f2e3 f4d3 f3f5 d3b2 f5d5 g8h8 a1b1 b2a4 b1b7 a4c3 d5c5 f8e8 c5c3 e8e3 c3e3 h7h6 f1d3 f6f5 e3e8 h8h7 d3f5 g7g6 b7c7
2,Win,192x16_20260531_lr1e-9-100,0-1,maia-1100,192x16_20260531_lr1e-9-100,e2e4 g8f6 b1c3 b8c6 g1f3 e7e5 f1c4 f8c5 e1g1 d7d6 d2d3 c6a5 c1g5 a5c4 d3c4 c8e6 c3d5 a7a5 g5f6 g7f6 f3h4 c7c6 d5e3 c5e3 f2e3 h8g8 d1h5 d8b6 h5h7 e8c8 h4f5 g8h8 h7g7 e6f5 e4f5 b6e3 g1h1 h8h6 g7f7 d8h8 h2h3 h6h3 g2h3 e3h3 h1g1 h3g3
3,Draw,Draw,1/2-1/2,192x16_20260531_lr1e-9-100,maia-1100,b1c3 e7e5 g1f3 b8c6 e2e4 g8f6 f1c4 f8c5 e1g1 d7d6 d2d3 c8g4 c4b5 e8g8 b5c6 b7c6 h2h3 g4h5 c3a4 c5b6 f1e1 d6d5 c1g5 d5e4 d3e4 d8d1 a1d1 h5f3 g2f3 f6h5 d1d7 f7f6 g5e3 h5f4 e3f4 e5f4 e1d1 h7h6 c2c4 g7g5 c4c5 b6a5 a2a3 a8b8 b2b4 a5b4 a3b4 b8b4 d1a1 f8f7 d7d8 g8g7 d8a8 f7d7 a8a7 b4d4 a4b6 c7b6 c5b6 d7a7 b6a7 d4d8 a7a8q d8a8 a1a8 c6c5 a8c8 g7g6 c8c5 g6h5 c5c6 h5g6 e4e5 g6f5 e5f6 f5g6 g1g2 g6f7 h3h4 g5h4 g2h3 f7g6 h3h4 h6h5 c6a6 g6h6 a6a4 h6g6 a4f4 g6f7 h4h5 f7e6 h5g5 e6f7 g5h5 f7e6 h5g5 e6f7 g5h5 f7e6 h5g5 e6f7 g5h5 f7e6 h5g5 e6f7 g5h5
4,Win,192x16_20260531_lr1e-9-100,0-1,maia-1100,192x16_20260531_lr1e-9-100,e2e4 g8f6 b1c3 b8c6 g1f3 e7e5 f1c4 f8c5 e1g1 d7d6 d2d3 h7h6 a2a3 e8g8 b2b4 c5b6 c3d5 f6d5 c4d5 c6e7 d5b3 a7a5 b4a5 b6a5 c1d2 e7g6 d2a5 a8a5 d1d2 b7b6 a3a4 c8g4 f3e1 g6f4 f2f3 g4d7 g2g3 f4h3 g1g2 d8f6 g3g4 h3f4 g2h1 f8a8 e1g2 d7a4 g2f4 f6f4 d2f4 e5f4 b3a4 a5a4 a1a4 a8a4 h1g2 g7g5 f1c1 g8g7 g2f2 a4a2 f2e2 b6b5 e2d2 c7c5 d2c3 a2a3 c3b2 b5b4 c2c3 g7f6 c3b4 c5b4 c1c6 a3d3 c6b6 d3f3 b6d6 f6e5 d6h6 f3e3 h6h7 f7f6 h7e7 e5d4 e7d7 d4e4 d7e7 e4f3 e7e3 f4e3 b2c2 e3e2 c2d2 b4b3 d2e1 b3b2 e1d2 f3f2 d2c2 b2b1b c2b1 f2f1 b1c1 e2e1q c1c2 e1f2 c2d3 f2h2 d3e4 h2f4 e4d5 f1e2 d5e6 f4g4 e6f6 g4f4 f6g6 g5g4 g6h5 g4g3 h5g6 g3g2 g6h5 g2g1n h5g6 g1f3 g6g7 e2e3 g7g6 e3e2 g6g7 e2e3 g7g6 e3e2 g6g7 e2d3 g7g6 d3e4 g6g7 f3e5 g7h7 f4f6 h7g8 e4f5 g8h7 f6e7 h7h6 e5g4 h6h5 e7h7
5,Win,192x16_20260531_lr1e-9-100,1-0,192x16_20260531_lr1e-9-100,maia-1100,g1f3 e7e6 e2e4 d7d5 e4d5 e6d5 d2d4 g8f6 f1d3 b8c6 e1g1 c8g4 c2c3 f8d6 f1e1 c6e7 h2h3 g4h5 c1g5 e8g8 b1d2 e7g6 g2g4 g6f4 g5f4 d6f4 g4h5 f6h5 d2f1 d8f6 f1e3 f4e3 e1e3 h5f4 d3f1 f6g6 g1h1 a8e8 f3e5 g6f5 d1f3 f7f6 e5d3 e8e3 f2e3 f4d3 f3f5 d3b2 f5d5 g8h8 a1b1 b2a4 b1b7 a4c3 d5c5 f8e8 c5c3 e8e3 c3e3 h7h6 f1d3 f6f5 e3e8 h8h7 d3f5 g7g6 b7c7
6,Win,192x16_20260531_lr1e-9-100,0-1,maia-1100,192x16_20260531_lr1e-9-100,e2e4 g8f6 b1c3 b8c6 g1f3 e7e5 f1c4 f8c5 e1g1 d7d6 d2d3 c6a5 c1g5 a5c4 d3c4 c8e6 c3d5 a7a5 g5f6 g7f6 f3h4 c7c6 d5e3 c5e3 f2e3 h8g8 d1h5 d8b6 h5h7 e8c8 h4f5 g8h8 h7g7 e6f5 e4f5 b6e3 g1h1 h8h6 g7f7 d8h8 h2h3 h6h3 g2h3 e3h3 h1g1 h3g3
7,Draw,Draw,1/2-1/2,192x16_20260531_lr1e-9-100,maia-1100,b1c3 e7e5 g1f3 b8c6 e2e4 g8f6 f1c4 f8c5 e1g1 d7d6 d2d3 c8g4 c4b5 e8g8 b5c6 b7c6 h2h3 g4h5 c3a4 c5b6 f1e1 d6d5 c1g5 d5e4 d3e4 d8d1 a1d1 h5f3 g2f3 f6h5 d1d7 f7f6 g5e3 h5f4 e3f4 e5f4 e1d1 h7h6 c2c4 g7g5 c4c5 b6a5 a2a3 a8b8 b2b4 a5b4 a3b4 b8b4 d1a1 f8f7 d7d8 g8g7 d8a8 f7d7 a8a7 b4d4 a4b6 c7b6 c5b6 d7a7 b6a7 d4d8 a7a8q d8a8 a1a8 c6c5 a8c8 g7g6 c8c5 g6h5 c5c6 h5g6 e4e5 g6f5 e5f6 f5g6 g1g2 g6f7 h3h4 g5h4 g2h3 f7g6 h3h4 h6h5 c6a6 g6h6 a6a4 h6g6 a4f4 g6f7 h4h5 f7e6 h5g5 e6f7 g5h5 f7e6 h5g5 e6f7 g5h5 f7e6 h5g5 e6f7 g5h5 f7e6 h5g5 e6f7 g5h5
8,Win,192x16_20260531_lr1e-9-100,0-1,maia-1100,192x16_20260531_lr1e-9-100,e2e4 g8f6 b1c3 b8c6 g1f3 e7e5 f1c4 f8c5 e1g1 d7d6 d2d3 h7h6 a2a3 e8g8 b2b4 c5b6 c3d5 f6d5 c4d5 c6e7 d5b3 a7a5 b4a5 b6a5 c1d2 e7g6 d2a5 a8a5 d1d2 b7b6 a3a4 c8g4 f3e1 g6f4 f2f3 g4d7 g2g3 f4h3 g1g2 d8f6 g3g4 h3f4 g2h1 f8a8 e1g2 d7a4 g2f4 f6f4 d2f4 e5f4 b3a4 a5a4 a1a4 a8a4 h1g2 g7g5 f1c1 g8g7 g2f2 a4a2 f2e2 b6b5 e2d2 c7c5 d2c3 a2a3 c3b2 b5b4 c2c3 g7f6 c3b4 c5b4 c1c6 a3d3 c6b6 d3f3 b6d6 f6e5 d6h6 f3e3 h6h7 f7f6 h7e7 e5d4 e7d7 d4e4 d7e7 e4f3 e7e3 f4e3 b2c2 e3e2 c2d2 b4b3 d2e1 b3b2 e1d2 f3f2 d2c2 b2b1b c2b1 e2e1q b1c2 e1e4 c2c3 e4f3 c3d4 f3h3 d4e4 h3h2 e4f5 h2f4 f5g6 f2f3 g6h5 f4g4 h5g6 g4d4 g6f5 d4f4 f5g6 f4d4 g6f5 g5g4 f5e6 g4g3 e6f5 g3g2 f5g6 g2g1q g6f7 d4d7 f7f6 g1g7
9,Win,192x16_20260531_lr1e-9-100,1-0,192x16_20260531_lr1e-9-100,maia-1100,b1c3 e7e5 e2e4 g8f6 g1f3 b8c6 f1c4 f8c5 d2d3 d7d6 e1g1 c8g4 c4b5 e8g8 b5c6 b7c6 h2h3 g4h5 c3a4 c5b6 f1e1 d6d5 c1g5 d5e4 d3e4 d8d1 a1d1 h5f3 g2f3 f6h5 d1d7 f7f6 g5e3 b6e3 f2e3 a8c8 a4c5 f8d8 e1d1 d8d7 d1d7 h5g3 c5e6 g3e2 g1f2 e2c1 d7g7 g8h8 g7f7 c1a2 f7f6 a2b4 f6f5 b4c2 f5e5 c2b4 f2e2 c8e8 f3f4 a7a5 f4f5 a5a4 e5a5 b4c2 a5a4 c6c5 e4e5 c2b4 a4a7 b4d5 e3e4 d5f4 e6f4 e8e5 e2f3 e5e7 f5f6 e7f7 a7a8 f7f8 a8f8
10,Win,192x16_20260531_lr1e-9-100,0-1,maia-1100,192x16_20260531_lr1e-9-100,e2e4 g8f6 b1c3 b8c6 g1f3 e7e5 f1c4 f6e4 c3e4 d7d5 c4d5 d8d5 e4c3 d5d6 e1g1 c8g4 h2h3 g4h5 g2g4 h5g6 d2d3 e8c8 c1g5 f7f6 g5e3 h7h5 g4g5 d6e6 h3h4 e6g4 g1h1 e5e4 f3h2 g4h4 f1g1 e4d3 c2d3 d8d3 d1a4 h4a4 c3a4 g6e4 f2f3 d3e3 f3e4 f8d6 g5f6 g7f6 a4c3 e3h3 g1g2 c6e5 a1g1 e5g4 c3d5 d6h2 d5e7 c8b8 e7g6 h2g1 h1g1 h8d8 g2g4 h5g4 g6f4 d8d1 g1g2 h3e3 f4d5 d1d2 g2f1 e3h3 f1e1 d2b2 d5e7 h3h1
11,Win,192x16_20260531_lr1e-9-100,1-0,192x16_20260531_lr1e-9-100,maia-1100,b1c3 e7e5 g1f3 b8c6 e2e4 g8f6 f1c4 f8c5 d2d3 d7d6 c3d5 c8g4 c1g5 h7h6 g5f6 g7f6 c2c3 f6f5 h2h3 g4h5 e4f5 e5e4 d3e4 c6e5 c4e2 c7c6 f3e5 h5e2 d1e2 d6e5 d5e3 d8g5 e1c1 e8g8 d1d7 f8d8 d7b7 c5e3 e2e3 g5e3 f2e3 d8d3 h1e1 a8d8 b7a7 d3d2 a2a4 d2g2 e1d1 d8d1 c1d1 g2b2 a4a5 b2a2 f5f6 a2a1 d1c2 a1a2 c2b3 a2e2 a5a6 e2e3 a7c7 e3h3 a6a7 h3e3 a7a8q g8h7 a8f8 h7g6 c7f7 e3e4 f7c7 e4f4 f6f7 f4f7 c7f7 e5e4 f7g7 g6h5 f8f5 h5h4 f5g4
12,Win,192x16_20260531_lr1e-9-100,0-1,maia-1100,192x16_20260531_lr1e-9-100,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8f5 f1d3 f5d3 d1d3 e7e6 e1g1 d6e5 f3e5 f8d6 d3b5 b8d7 e5d7 d8d7 b5b7 e8g8 b1c3 f8b8 b7a6 d5b4 a6e2 d7c6 a2a3 b4d5 c3d5 c6d5 c2c3 b8b3 g2g3 a7a5 e2g4 a8b8 c1h6 d6f8 h6f4 b3b2 f4c7 b8c8 c7e5 c8c3 a1b1 b2b1 f1b1 c3a3 b1c1 a5a4 c1c5 a3a1 g4d1 a1d1
13,Win,192x16_20260531_lr1e-9-100,1-0,192x16_20260531_lr1e-9-100,maia-1100,b1c3 e7e5 e2e4 g8f6 g1f3 b8c6 f1c4 f8c5 d2d3 d7d6 e1g1 c8g4 c4b5 e8g8 b5c6 b7c6 h2h3 g4h5 c3a4 c5b6 f1e1 d6d5 c1g5 d5e4 d3e4 d8d1 a1d1 h5f3 g2f3 f6h5 d1d7 f7f6 g5e3 b6e3 f2e3 a8c8 a4c5 f8d8 e1d1 d8d7 d1d7 h5g3 c5e6 g3e2 g1f2 e2c1 d7g7 g8h8 a2a3 c1a2 g7f7 h8g8 f7g7 g8h8 g7f7 h8g8 f7f6 c8e8 e6c5 e8d8 c5d3 c6c5 f6c6 c5c4 c6c4 d8d3 c2d3 g8f7 c4c7 f7e6 c7a7 a2c1 d3d4 c1d3 f2e2 d3b2 d4d5 e6d6 a3a4 b2c4 a4a5 d6c5 a7c7 c5b5 f3f4 e5f4 e3f4 c4a5 f4f5 a5c4 f5f6 c4e5 e2e3 b5b6 d5d6 e5c6 f6f7 c6d8 f7f8q d8c6 f8c8 b6c5 c7c6 c5b5 c8a6 b5b4 a6b7 b4a4 c6a6
