game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Loss,maia-1100,0-1,128x10_20260617_lr1e-9-200,maia-1100,d2d4 d7d5 c2c4 d5c4 g1f3 e7e6 e2e3 f8b4 c1d2 b4d2 b1d2 b7b5 a2a4 c7c6 b2b3 c4c3 d2e4 b5b4 f3e5 g8f6 e4g5 e8g8 g5f7 f8f7 e5f7 g8f7 g2g4 e6e5 g4g5 f6e4 h2h4 e5d4 d1d4 d8d4 e3d4 e4d2 a4a5 d2b3 a1b1 b3d4 b1b4 d4c2 e1d1 c2b4 h4h5 c3c2 d1d2 c8f5 h5h6 g7h6 h1h6 f7g7 f2f3 b8d7 h6f6 d7f6 f3f4 f6e4 d2e2 c2c1q f1h3 c1d2 e2f3 d2f2
2,Loss,maia-1100,1-0,maia-1100,128x10_20260617_lr1e-9-200,e2e4 g8f6 b1c3 e7e5 g1f3 b8c6 f1c4 f6e4 c3e4 d7d5 c4d5 d8d5 e4c3 d5e6 e1g1 f7f6 d2d4 c6d4 f3d4 e5d4 f1e1 d4c3 e1e6 c8e6 b2c3 a8d8 d1e2 f8e7 c1f4 d8d7 e2e6 g7g5 f4g3 h7h5 h2h4 g5h4 g3h4 b7b6 h4f6 a7a6 f6h8 d7d6 e6g8 e8d7 a1e1 e7d8 g8e8 d7c8 e8h5 b6b5 e1e8 d6d7 h8f6 c7c6 f6d8 d7d8 e8d8 c8d8 g2g4 b5b4 g4g5 a6a5 g5g6 b4b3 c2b3 a5a4 b3a4 c6c5 a4a5 c5c4 a5a6 d8d7 a6a7 d7d6 a7a8q d6d7 g6g7 d7d6 g7g8q d6c7 g8g6 c7d7 h5h7
3,Loss,maia-1100,0-1,128x10_20260617_lr1e-9-200,maia-1100,g1f3 d7d5 d2d4 g8f6 c2c4 d5c4 e2e3 e7e6 f1c4 b8c6 e1g1 f8d6 b1c3 e8g8 e3e4 e6e5 d4e5 c6e5 f3e5 d6e5 h2h3 d8d1 f1d1 e5c3 b2c3 f6e4 d1e1 e4c3 c1b2 c3a4 b2a3 c7c5 e1e7 c8e6 c4e6 f7e6 a1e1 f8e8 e1e6 e8e7 e6e7 b7b5 f2f4 b5b4 a3c1 a4c3 c1b2 c3a2 e7g7 g8f8 g7h7 f8g8 h7g7 g8f8 f4f5 c5c4 f5f6 c4c3 b2a1 c3c2 a1b2 a8c8 f6f7 c2c1q b2c1 c8c1 g1f2 f8g7 h3h4 g7f7 f2f3 b4b3 g2g3 b3b2 f3f4 b2b1q g3g4 b1b4 f4f3 c1c3 f3f2 b4b2 f2f1 c3c1
4,Draw,Draw,1/2-1/2,maia-1100,128x10_20260617_lr1e-9-200,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 b7c6 e4e5 d8a5 c1d2 a5e5 f1e2 e7e6 e1g1 d7d5 d2c3 e5d6 c3f6 g7f6 b1c3 f6f5 d1d4 e6e5 d4a4 a8b8 a4a7 h8g8 e2h5 b8b7 a7a8 b7b8 a8a7 g8g7 a1e1 e5e4 f2f3 b8b7 a7a8 b7b8 a8a7 b8b7 a7a8 b7b8 a8a7 b8b7 a7a8 b7b8 a8a7 b8b7 a7a8 b7b8 a8a7
5,Loss,maia-1100,0-1,128x10_20260617_lr1e-9-200,maia-1100,d2d4 d7d5 c2c4 d5c4 g1f3 e7e6 e2e3 f8b4 c1d2 b4d2 b1d2 b7b5 a2a4 c7c6 b2b3 c4c3 d2e4 b5b4 f3e5 g8f6 e4g5 e8g8 g5f7 f8f7 e5f7 g8f7 g2g4 e6e5 g4g5 f6e4 h2h4 e5d4 d1d4 d8d4 e3d4 e4d2 a4a5 d2b3 a1b1 b3d4 b1b4 d4c2 e1d1 c2b4 h4h5 c3c2 d1d2 c8f5 h5h6 g7h6 h1h6 f7g7 f2f3 b8d7 h6f6 d7f6 f3f4 f6e4 d2e2 c2c1q f1h3 c1d2 e2f3 d2f2
6,Loss,maia-1100,1-0,maia-1100,128x10_20260617_lr1e-9-200,e2e4 g8f6 b1c3 e7e5 g1f3 b8c6 f1c4 f6e4 c3e4 d7d5 c4d5 d8d5 e4c3 d5e6 e1g1 f7f6 d2d4 c6d4 f3d4 e5d4 f1e1 d4c3 e1e6 c8e6 b2c3 a8d8 d1e2 f8e7 c1f4 d8d7 e2e6 g7g5 f4g3 h7h5 h2h4 g5h4 g3h4 b7b6 h4f6 a7a6 f6h8 d7d6 e6g8 e8d7 a1e1 e7d8 g8e8 d7c8 e8h5 b6b5 e1e8 d6d7 h8f6 c7c6 f6d8 d7d8 e8d8 c8d8 g2g4 b5b4 g4g5 a6a5 g5g6 b4b3 c2b3 a5a4 b3a4 c6c5 a4a5 c5c4 a5a6 d8d7 a6a7 d7d6 a7a8q d6d7 g6g7 d7d6 g7g8q d6c7 g8g6 c7d7 h5h7
7,Loss,maia-1100,0-1,128x10_20260617_lr1e-9-200,maia-1100,g1f3 d7d5 d2d4 g8f6 c2c4 d5c4 e2e3 e7e6 f1c4 b8c6 e1g1 f8d6 b1c3 e8g8 e3e4 e6e5 d4e5 c6e5 f3e5 d6e5 h2h3 d8d1 f1d1 e5c3 b2c3 f6e4 d1e1 e4c3 c1b2 c3a4 b2a3 c7c5 e1e7 c8e6 c4e6 f7e6 a1e1 f8e8 e1e6 e8e7 e6e7 b7b5 f2f4 b5b4 a3c1 a4c3 c1b2 c3a2 e7g7 g8f8 g7h7 f8g8 h7g7 g8f8 f4f5 c5c4 f5f6 c4c3 b2a1 c3c2 a1b2 a8c8 f6f7 c2c1q b2c1 c8c1 g1h2 b4b3 g7g8 f8f7 g8b8 c1c3 b8b3 c3b3 g2g3 a7a5 g3g4 a5a4 g4g5 a4a3 g5g6 f7g6 h3h4 g6h5 h2h1 h5h4 h1g1 a2c3 g1g2 a3a2 g2f3 a2a1q f3f4 a1f1 f4e5 b3b5 e5d6 f1f6 d6d7 b5b7 d7c8 f6c6 c8d8 c6d7
8,Draw,Draw,1/2-1/2,maia-1100,128x10_20260617_lr1e-9-200,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 b7c6 e4e5 d8a5 c1d2 a5e5 f1e2 e7e6 e1g1 d7d5 d2c3 e5d6 c3f6 g7f6 b1c3 f6f5 d1d4 e6e5 d4a4 a8b8 a4a7 h8g8 e2h5 b8b7 a7a8 b7b8 a8a7 g8g7 a1e1 e5e4 f2f3 b8b7 a7a8 b7b8 a8a7 b8b7 a7a8 b7b8 a8a7 b8b7 a7a8 b7b8 a8a7 b8b7 a7a8 b7b8 a8a7
9,Win,128x10_20260617_lr1e-9-200,1-0,128x10_20260617_lr1e-9-200,maia-1100,g1f3 d7d5 c2c4 d5c4 e2e3 b7b5 b2b3 c4b3 f1b5 c7c6 b5c4 b3a2 a1a2 e7e6 e1g1 g8f6 d2d4 f8d6 b1d2 e8g8 e3e4 f6g4 e4e5 d6b4 h2h3 g4h6 d2e4 h6f5 g2g4 f5h4 f3h4 d8h4 f2f4 h4h3 a2h2 h3c3 e4c3 b4c3 d1d3 c3d4 d3d4 b8d7 d4e4 g7g6 f4f5 e6f5 g4f5 d7c5 e4e3 c8f5 e5e6 c5e6 c1b2 a8b8 e3e5 b8b2 h2b2 f8e8 b2b7 a7a5 c4e6 f5e6 b7b8 g8f8 e5d6 f8g7 b8e8 g7h6 d6d8 a5a4 e8e6 f7e6 d8f8 h6g5 f8f4 g5h5 g1g2 g6g5 f4f6 a4a3 g2g3 a3a2 f1h1
10,Draw,Draw,1/2-1/2,maia-1100,128x10_20260617_lr1e-9-200,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 d7c6 d1d8 e8d8 b1c3 e7e5 c1g5 h7h6 g5f6 g7f6 e1c1 d8c7 f1c4 h6h5 c4f7 h5h4 h2h3 h8h7 f7g6 h7g7 g6f5 g7g2 f5c8 a8c8 h1g1 g2g1 d1g1 c8d8 g1g8 f8h6 c1b1 d8g8 a2a3 g8g2 f2f3 g2g3 c3e2 g3h3 e2g1 h3h1 b1a2 h1g1 a2b3 h4h3 c2c4 h3h2 c4c5 h2h1q a3a4 g1g2 a4a5 h1h2 a5a6 b7a6 b3b4 a6a5 b4a5 a7a6 a5a6 g2g1 a6a5 h2h1 a5b4 c7c8 b4a5 c8c7 a5b4 c7c8 b4a5 c8c7 a5b4 c7c8 b4a5 c8c7 a5b4 c7c8 b4a5 c8c7
