game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Loss,maia-2200,0-1,128x10_20260617_lr1e-9-190,maia-2200,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 h2h3 e7e5 d4d5 a7a5 f1e2 b8a6 c1e3 a6c5 f3d2 f6d7 h3h4 f7f5 f2f3 f5f4 e3f2 d7f6 a2a3 f6h5 b2b4 a5b4 a3b4 a8a1 d1a1 c5a6 a1a3 h5g3 h1h2 g7f6 c4c5 f6h4 h2h4 d8h4 c5c6 h4h1 e2f1 g3f1 d2f1 h1g2 f1d2 g2h1 e1e2 h1g2 e2e1 g2h1 e1e2 h1g2 e2e1 g2h1 e1e2 h1g2 c6b7 c8b7 b4b5 a6c5 a3a7 f8a8 a7c5 d6c5 e2e1 a8a1 e1e2 a1c1 c3a2 c1c2 e2d3 c2a2 d3c4 g2f2 b5b6 f2d2 c4c5 d2c3 c5b5 a2a5
2,Loss,maia-2200,1-0,maia-2200,128x10_20260617_lr1e-9-190,e2e4 g8f6 e4e5 f6g8 d2d4 d7d6 f2f4 g7g6 g1f3 g8h6 f1d3 f8g7 e1g1 e8g8 c2c3 c7c5 c1e3 b8c6 b1d2 c5d4 c3d4 c6b4 d3b1 b4d5 e3f2 d5f4 f2e3 f4d5 e3g5 d6e5 d4e5 f7f6 e5f6 e7f6 g5h6 g7h6 d1b3 g8h8 b1e4 d5e3 f1e1 f6f5 e4b7 c8b7 b3b7 e3c2 e1e7 c2a1 e7h7 h8g8 h7h6 a8b8 b7h7
3,Loss,maia-2200,0-1,128x10_20260617_lr1e-9-190,maia-2200,e2e4 c7c5 g1f3 d7d6 b1c3 g8f6 d2d4 c5d4 f3d4 a7a6 f2f3 e7e5 d4b3 c8e6 f3f4 e5f4 c1f4 b8c6 d1d2 f8e7 e1c1 e8g8 c1b1 b7b5 c3d5 f6e4 d5e7 d8e7 d2e3 d6d5 f1d3 f7f5 b3d4 c6d4 e3d4 e7c5 d4c5 e4c5 g2g3 c5d3 d1d3 a8c8 b2b3 f8d8 h2h4 g8f7 b1b2 h7h6 c2c3 c8c6 d3d4 d8c8 d4d3 a6a5 a2a3 a5a4 h1e1 a4b3 b2b3 d5d4 b3b4 d4c3 b4b5 e6c4 b5b4 c4d3 b4b3 c3c2 b3b4 c6c4 b4b3 c4c3 b3b2 c2c1q e1c1 c3c1 f4c1 c8c2 b2b1 c2g2 b1a1 g2g3 a3a4 g3g4 a4a5 g4a4 a1b2 a4a5 b2b3 a5b5 b3c3 d3e4 c3c4 b5b1 h4h5 b1c1 c4b5 f7f6 b5b4 f6g5 b4b5 g5h5 b5b4 g7g5 b4a5 c1b1 a5a4 g5g4 a4a3 g4g3 a3a2 g3g2 a2a3 g2g1q a3a2 g1f2 a2a3 f2a7
4,Draw,Draw,1/2-1/2,maia-2200,128x10_20260617_lr1e-9-190,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1e3 e7e6 f2f3 d6d5 d4c6 b7c6 e4e5 f6d7 f3f4 a8b8 a1b1 c6c5 e3f2 f8e7 f1e2 d5d4 c3e4 c8b7 e2f3 e8g8 e1g1 d7b6 c2c3 b6d5 c3d4 d5f4 e4c5 b7a8 f3a8 b8a8 d1f3 f4d5 c5e4 a8b8 b2b3 b8c8 b1c1 d8d7 e4c5 d7b5 a2a4 b5b6 c5d7 b6b7 d7f8 c8f8 c1c4 h7h6 f1c1 b7b6 h2h3 a7a5 f3d3 b6b7 f2e1 b7b6 g1h1 b6b7 e1a5 e7g5 a5d2 f7f6 d2g5 h6g5 e5f6 g7f6 d3g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 h6g6
5,Win,128x10_20260617_lr1e-9-190,1-0,128x10_20260617_lr1e-9-190,maia-2200,g1f3 g8f6 d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 e2e3 e8g8 a2a3 c7c5 d4c5 e7c5 b2b4 c5e7 c1b2 a7a5 b4b5 b8d7 f1e2 d5c4 e1g1 d8c7 c3a4 b7b6 e2c4 c8b7 a1c1 d7c5 a4c5 e7c5 f3e5 a8d8 e5d3 c5d6 h2h3 c7e7 a3a4 f6e4 f2f3 e4g3 f1f2 g3f5 d1e1 d6g3 e3e4 g3f2 e1f2 f5d6 c4b3 d8c8 c1d1 d6c4 b3c4 c8c4 d3e5 c4a4 d1d7 e7c5 d7b7 c5f2 g1f2 a4a2 e5c4 f8c8 f2e3 c8c4 b7b8 c4c8 b8c8
6,Loss,maia-2200,1-0,maia-2200,128x10_20260617_lr1e-9-190,e2e4 g8f6 e4e5 f6g8 d2d4 d7d6 f2f4 g7g6 g1f3 g8h6 f1d3 f8g7 e1g1 e8g8 c2c3 c7c5 c1e3 b8c6 b1d2 c5d4 c3d4 c6b4 d3b1 b4d5 e3f2 d5f4 f2e3 f4d5 e3g5 d6e5 d4e5 f7f6 e5f6 e7f6 g5h6 g7h6 d1b3 g8h8 b1e4 d5e3 f1e1 f6f5 e4b7 c8b7 b3b7 e3c2 e1e7 c2a1 e7h7 h8g8 h7h6 a8b8 b7h7
7,Loss,maia-2200,0-1,128x10_20260617_lr1e-9-190,maia-2200,e2e4 c7c5 g1f3 d7d6 b1c3 g8f6 d2d4 c5d4 f3d4 a7a6 f2f3 e7e5 d4b3 c8e6 f3f4 e5f4 c1f4 b8c6 d1d2 f8e7 e1c1 e8g8 c1b1 b7b5 c3d5 f6e4 d5e7 d8e7 d2e3 d6d5 f1d3 f7f5 b3d4 c6d4 e3d4 e7c5 d4c5 e4c5 g2g3 c5d3 d1d3 a8c8 b2b3 f8d8 h2h4 g8f7 b1b2 h7h6 c2c3 c8c6 d3d4 d8c8 d4d3 a6a5 a2a3 a5a4 h1e1 a4b3 b2b3 d5d4 b3b4 d4c3 b4b5 e6c4 b5b4 c4d3 b4b3 c3c2 b3b4 c6c4 b4b3 c4c3 b3b2 c2c1q e1c1 c3c1 f4c1 c8c2 b2b1 c2g2 b1a1 g2g3 a3a4 g3g4 a4a5 g4a4 a1b2 a4a5 b2b3 a5b5 b3c3 d3e4 c3c4 b5b1 h4h5 b1c1 c4b5 f7f6 b5b4 f6g5 b4b5 g5h5 b5b4 g7g5 b4a5 c1b1 a5a4 g5g4 a4a3 g4g3 a3a2 g3g2 a2a3 g2g1q a3a2 g1f2 a2a3 f2a7
8,Draw,Draw,1/2-1/2,maia-2200,128x10_20260617_lr1e-9-190,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1e3 e7e6 f2f3 d6d5 d4c6 b7c6 e4e5 f6d7 f3f4 a8b8 a1b1 c6c5 e3f2 f8e7 f1e2 d5d4 c3e4 c8b7 e2f3 e8g8 e1g1 d7b6 c2c3 b6d5 c3d4 d5f4 e4c5 b7a8 f3a8 b8a8 d1f3 f4d5 c5e4 a8b8 b2b3 b8c8 b1c1 d8d7 e4c5 d7b5 a2a4 b5b6 c5d7 b6b7 d7f8 c8f8 c1c4 h7h6 f1c1 b7b6 h2h3 a7a5 f3d3 b6b7 f2e1 b7b6 g1h1 b6b7 e1a5 e7g5 a5d2 f7f6 d2g5 h6g5 e5f6 g7f6 d3g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 h6g6
9,Draw,Draw,1/2-1/2,128x10_20260617_lr1e-9-190,maia-2200,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f3 e7e5 d4b3 c8e6 f3f4 e5f4 c1f4 b8c6 d1d2 f8e7 e1c1 e8g8 c1b1 b7b5 f1e2 b5b4 c3d5 f6e4 d5e7 d8e7 d2e3 d6d5 h1e1 a6a5 b3d4 c6d4 e3d4 a5a4 e2d3 b4b3 a2a3 b3c2 d3c2 f8c8 d1c1 c8c4 d4e3 a8c8 c2d3 c4c1 e1c1 c8c1 b1c1 e4c5 d3c2 c5b3 c2b3 a4b3 e3b3 h7h6 b3b4 e7f6 g2g3 e6f5 a3a4 f6c6 c1d1 c6c2 d1e1 f5g4 b4b5 c2d1 e1f2 d1f3 f2e1 f3d1 e1f2 d1f3 f2e1 f3d1 e1f2 d1f3 f2e1 f3d1 e1f2 d1f3 f2e1 f3d1
10,Loss,maia-2200,1-0,maia-2200,128x10_20260617_lr1e-9-190,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 e7e6 f2f3 d6d5 d4c6 b7c6 e4e5 f6d7 f3f4 a8b8 a1b1 c6c5 e3f2 f8e7 f1e2 d5d4 c3e4 c8b7 e2f3 e8g8 e1g1 d8c7 b2b3 d7b6 c2c4 d4c3 e4c3 f8d8 d1e2 b6d5 c3d5 e6d5 b1c1 d5d4 f3b7 c7b7 e2d3 a7a5 c1c4 a5a4 c4a4 b8a8 a4a8 d8a8 a2a4 a8b8 f1b1 h7h6 h2h3 g7g6 f4f5 g6f5 d3f5 b7b6 f2g3 b6g6 f5g6 f7g6 e5e6 b8b6 a4a5 b6a6 g3c7 g8f8 c7b6 h6h5 b1c1 e7d6 b6c5 d6c5 c1c5 d4d3 c5d5 d3d2 d5d2 a6a5 d2d7 a5e5 e6e7 f8e8 d7a7 e5b5 a7a3 e8e7 g1f2 g6g5 f2e3 h5h4 e3d4 e7d6 d4c4 b5c5 c4b4 c5c2 a3a5 g5g4 a5g5 g4g3 g5g4 c2g2 g4h4 g2h2 h4g4 h2h3 b4c4 g3g2 g4g2 h3h4 c4b5 h4h3 b3b4 h3h4 g2g6 d6d5 g6g5 d5d4 b5b6 h4h6 b6a5 d4d3 b4b5 d3d4 b5b6 h6h7 a5a6 h7h6 a6a7 d4d3 b6b7 h6h7 a7a8 h7h8 b7b8q d3d4 b8h8 d4d3 h8h4 d3d2 g5g3 d2d1 h4h2 d1e1 g3g1
