game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,48x5_20260522_lr1e-9-190,1-0,48x5_20260522_lr1e-9-190,maia-1100,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 c2c3 e6e5 c1g5 f6f5 f1d3 e5e4 d1e2 f8e7 d3e4 f5e6 d4d5 e6g4 d5c6 e7g5 c6b7 c8b7 e4b7 g5e7 b7a8 e8g8 a8d5 g4g2 h1g1 g2h3 e2e7 h3f5 d5e4 f5f4 f3g5 g7g6 e4d5 f4h2 d5f7 g8g7 g5e6 g7h6 e7g5
2,Win,48x5_20260522_lr1e-9-190,0-1,maia-1100,48x5_20260522_lr1e-9-190,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 g8e7 g1f3 b8c6 f1b5 c8d7 e1g1 c5d4 c3d4 e7f5 b1c3 f8e7 c1g5 e7g5 f3g5 d8g5 f2f4 g5d8 d1g4 c6d4 b5d7 d8d7 a1d1 h7h5 g4g5 h5h4 h2h3 a8c8 g2g4 h4g3 g1g2 d7c6 d1c1 c6b6 c3a4 c8c1 a4b6 c1c2 g2g1 a7b6 h3h4 c2h2 f1c1 d4f3 g1f1 f5e3
3,Win,48x5_20260522_lr1e-9-190,1-0,48x5_20260522_lr1e-9-190,maia-1100,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e5d4 f1e1 d7d5 f3d4 c8d7 d4c6 d7c6 b5c6 b7c6 c2c4 f8c5 c1e3 c5e3 e1e3 e8g8 b1d2 e4d2 d1d2 d5c4 d2c3 d8d5 e3e5 d5d6 a1e1 a8d8 c3c4 d6d1 h2h3 d1d2 e5e2 d2d6 e1c1 f8e8 e2e8 d8e8 c4c6 d6c6 c1c6 e8e1 g1h2 e1e2 c6c7 h7h6 c7a7 e2b2 h2g3 g7g5 a2a4 g8g7 a4a5 b2a2 a5a6 g7g6 a7a8 f7f5 a6a7 f5f4 g3f3 g6f5 g2g4 f5e5 a8e8 e5d4 a7a8q a2a8 e8a8 d4e5 a8a6 e5d4 a6f6 d4e5 f6h6 e5d4 h3h4 g5h4 g4g5 d4e5 g5g6 e5f6 f3f4 f6g7 f4g5 h4h3 h6h3 g7g8 f2f4 g8g7 f4f5 g7g8 f5f6 g8f8 h3h8
4,Loss,maia-1100,1-0,maia-1100,48x5_20260522_lr1e-9-190,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5a4 h7h6 g5f3 e5e4 f3e5 f8d6 e5c6 d8b6 c6a5 c8d7 a4d7 f6d7 a5c4 b6c6 c4d6 c6d6 e1g1 e8g8 b1c3 f8e8 f1e1 d7f6 d2d3 e4d3 e1e8 a8e8 c2d3 d6d7 h2h3 a7a5 c1e3 e8b8 b2b3 b8c8 a1c1 c8d8 d3d4 f6d5 c3d5 d7d5 c1c5 d5d7 c5a5 d7e6 d4d5 e6d6 e3c5 d6d5 d1d5 d8d5 b3b4 d5d2 b4b5 d2b2 b5b6 f7f6 a5a7 h6h5 b6b7 g8h7 c5d6 h7g6 b7b8q b2b8 d6b8 h5h4 a2a4 f6f5 a4a5 g6f6 a5a6 f6g6 a7c7 f5f4 a6a7 f4f3 a7a8q g6f6 a8c6 f6f5 c7f7 f5g5 f7g7 g5f5 c6f3 f5e6 g7g6 e6e7 f3f6 e7d7 g6g7 d7e8 f6e7
5,Win,48x5_20260522_lr1e-9-190,1-0,48x5_20260522_lr1e-9-190,maia-1100,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 c2c3 e6e5 c1g5 f6f5 f1d3 e5e4 d1e2 f8e7 d3e4 f5e6 d4d5 e6g4 d5c6 e7g5 c6b7 c8b7 e4b7 g5e7 b7a8 e8g8 a8d5 g4g2 h1g1 g2h3 e2e7 h3f5 d5e4 f5f4 f3g5 g7g6 e4d5 f4h2 d5f7 g8g7 g5e6 g7h6 e7g5
6,Win,48x5_20260522_lr1e-9-190,0-1,maia-1100,48x5_20260522_lr1e-9-190,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 g8e7 g1f3 b8c6 f1b5 c8d7 e1g1 c5d4 c3d4 e7f5 b1c3 f8e7 c1g5 e7g5 f3g5 d8g5 f2f4 g5d8 d1g4 c6d4 b5d7 d8d7 a1d1 h7h5 g4g5 h5h4 h2h3 a8c8 g2g4 h4g3 g1g2 d7c6 d1c1 c6b6 c3a4 c8c1 a4b6 c1c2 g2g1 a7b6 h3h4 c2h2 f1c1 d4f3 g1f1 f5e3
7,Win,48x5_20260522_lr1e-9-190,1-0,48x5_20260522_lr1e-9-190,maia-1100,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e5d4 f1e1 d7d5 f3d4 c8d7 d4c6 d7c6 b5c6 b7c6 c2c4 f8c5 c1e3 c5e3 e1e3 e8g8 b1d2 e4d2 d1d2 d5c4 d2c3 d8d5 e3e5 d5d6 a1e1 a8d8 c3c4 d6d1 h2h3 d1d2 e5e2 d2d6 e1c1 f8e8 e2e8 d8e8 c4c6 d6c6 c1c6 e8e1 g1h2 e1e2 c6c7 h7h6 c7a7 e2b2 h2g3 g7g5 a2a4 g8g7 a4a5 b2a2 a5a6 g7g6 a7a8 f7f5 a6a7 f5f4 g3f3 g6f5 g2g4 f5e5 a8e8 e5d4 a7a8q a2a8 e8a8 d4e5 a8a6 e5d4 a6f6 d4e5 f6h6 e5d4 h3h4 g5h4 g4g5 d4e5 g5g6 e5f6 f3f4 f6g7 f4g5 h4h3 h6h3 g7g8 f2f4 g8g7 f4f5 g7g8 f5f6 g8f8 h3h8
8,Loss,maia-1100,1-0,maia-1100,48x5_20260522_lr1e-9-190,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5a4 h7h6 g5f3 e5e4 f3e5 f8d6 e5c6 d8b6 c6a5 c8d7 a4d7 f6d7 a5c4 b6c6 c4d6 c6d6 e1g1 e8g8 b1c3 f8e8 f1e1 d7f6 d2d3 e4d3 e1e8 a8e8 c2d3 d6d7 h2h3 a7a5 c1e3 e8b8 b2b3 b8c8 a1c1 c8d8 d3d4 f6d5 c3d5 d7d5 c1c5 d5d7 c5a5 d7e6 d4d5 e6d6 e3c5 d6d5 d1d5 d8d5 b3b4 d5d2 b4b5 d2b2 b5b6 f7f6 a5a7 h6h5 b6b7 g8h7 c5d6 h7g6 b7b8q b2b8 d6b8 h5h4 a2a4 f6f5 a4a5 g6f6 a5a6 f6g6 a7c7 f5f4 a6a7 f4f3 a7a8q g6f6 a8c6 f6f5 c7f7 f5g5 f7g7 g5f5 c6f3 f5e6 g7g6 e6e7 f3f6 e7d7 g6g7 d7e8 f6e7
9,Loss,maia-1100,0-1,48x5_20260522_lr1e-9-190,maia-1100,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e5d4 f1e1 d7d5 f3d4 c8d7 d4c6 d7c6 b5c6 b7c6 b1d2 f8c5 d2e4 d5e4 e1e4 c5e7 d1e2 e8g8 e4e7 f8e8 e7e8 d8e8 c1e3 a8d8 a1e1 e8d7 e3a7 h7h6 a2a4 d8a8 a7c5 a8a4 b2b3 a4a8 e2e7 d7e7 c5e7 a8a2 e1e2 a2a1 e2e1 a1e1
10,Loss,maia-1100,1-0,maia-1100,48x5_20260522_lr1e-9-190,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 e2e7 f8e7 c1g5 h7h6 g5f6 e7f6 b1c3 b8c6 c3d5 f6d8 e1c1 c8e6 d5f4 e6a2 d1e1 e8d7 b2b3 d8f6 f4d5 a7a5 d5f6 g7f6 c1b2 a5a4 b2a2 a4b3 a2b3 h8g8 g2g3 c6a5 b3b2 a5c6 f1h3 d7d8 e1a1 a8a1 h1a1 d8e7 a1e1 e7d8 e1a1 d8e7 a1e1 e7d8 e1a1 d8e7 a1e1 e7d8 e1a1 g8e8 a1a8 d8e7 a8e8 e7e8 b2c3 e8e7 f3d4 c6d4 c3d4 c7c6 c2c4 e7d8 c4c5 d6c5 d4c5 d8c7 d3d4 b7b6 c5c4 c7d6 h3g2 b6b5 c4b4 f6f5 f2f4 h6h5 h2h4 f7f6 g2f3 d6c7 f3h5 c7d7 h5g6 d7e6 h4h5 e6e7 h5h6 e7f8 h6h7 f8g7 g6f5 g7h8 b4c5 b5b4 c5b4 h8g7 b4c5 g7h8 c5c6 h8g7 d4d5 g7h8 d5d6 h8g7 d6d7 g7h8 d7d8q h8g7 h7h8q g7f7 h8f6
