network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll
48x5_20260522_lr1e-9,0,Bishop's Opening,35,0.307263,0.118232,0.352661,0.054265,7.482297
48x5_20260522_lr1e-9,0,Bishop's Opening: Berlin Defense,28,0.33753,0.082243,0.308934,0.012975,5.334135
48x5_20260522_lr1e-9,0,Bogo-Indian Defense: Exchange Variation,18,0.432103,0.064612,0.347724,0.024347,1.034637
48x5_20260522_lr1e-9,0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.297319,0.081681,0.301482,0.012573,5.109099
48x5_20260522_lr1e-9,0,Catalan Opening: Closed,24,0.358511,0.037299,0.379432,0.059839,3.152075
48x5_20260522_lr1e-9,0,Grünfeld Defense,10,0.395105,0.143103,0.346147,0.059713,4.571908
48x5_20260522_lr1e-9,0,Grünfeld Defense: Exchange Variation,10,0.458566,0.102308,0.436404,0.082957,2.608897
48x5_20260522_lr1e-9,0,Grünfeld Defense: Three Knights Variation,30,0.313819,0.093388,0.330739,0.060153,5.805067
48x5_20260522_lr1e-9,0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.255366,0.052008,0.377614,0.068151,4.64462
48x5_20260522_lr1e-9,0,Indian Defense: Anti-Nimzo-Indian,22,0.301225,0.047888,0.274575,0.03745,4.273069
48x5_20260522_lr1e-9,0,Indian Defense: London System,35,0.334869,0.071715,0.350224,0.05641,3.215011
48x5_20260522_lr1e-9,0,Italian Game: Classical Variation,18,0.37962,0.097249,0.364866,0.031454,3.941191
48x5_20260522_lr1e-9,0,"Italian Game: Classical Variation, Albin Gambit",16,0.344577,0.090632,0.380332,0.028566,5.375263
48x5_20260522_lr1e-9,0,"Italian Game: Classical Variation, Center Attack",16,0.466854,0.118012,0.428088,0.023157,4.096184
48x5_20260522_lr1e-9,0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.325205,0.083298,0.346306,0.017855,4.19281
48x5_20260522_lr1e-9,0,"Italian Game: Giuoco Pianissimo, Normal",27,0.32089,0.065954,0.349352,0.016064,4.307275
48x5_20260522_lr1e-9,0,Italian Game: Giuoco Piano,22,0.351302,0.110416,0.369313,0.020547,5.739534
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.437527,0.155254,0.444001,0.080385,3.357911
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.29717,0.066713,0.299176,0.015923,4.066399
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.242238,0.077301,0.323835,0.020155,6.153626
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.34681,0.120275,0.372124,0.029836,5.876748
48x5_20260522_lr1e-9,0,King's Indian Defense,10,0.351161,0.070518,0.405792,0.040393,3.017415
48x5_20260522_lr1e-9,0,King's Indian Defense: Fianchetto Variation,22,0.293509,0.0511,0.441064,0.108347,5.049342
48x5_20260522_lr1e-9,0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.238847,0.053264,0.291299,0.054513,6.616246
48x5_20260522_lr1e-9,0,King's Indian Defense: Four Pawns Attack,9,0.356555,0.063312,0.459675,0.05215,3.039388
48x5_20260522_lr1e-9,0,King's Indian Defense: Normal Variation,10,0.325445,0.04032,0.400227,0.041976,2.852024
48x5_20260522_lr1e-9,0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.355118,0.086598,0.414267,0.048594,4.001063
48x5_20260522_lr1e-9,0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.383857,0.056623,0.43958,0.049356,2.447687
48x5_20260522_lr1e-9,0,King's Indian Defense: Smyslov Variation,21,0.32127,0.074112,0.407008,0.054143,3.074578
48x5_20260522_lr1e-9,0,London System,29,0.296781,0.073116,0.341028,0.051066,4.828156
48x5_20260522_lr1e-9,0,"London System, with Bd3",13,0.293768,0.063417,0.399965,0.07114,3.939885
48x5_20260522_lr1e-9,0,"London System, with Be2",13,0.292863,0.063745,0.383035,0.07741,3.94799
48x5_20260522_lr1e-9,0,Neo-Grünfeld Defense: with Nf3,24,0.355653,0.097457,0.320509,0.051207,4.704892
48x5_20260522_lr1e-9,0,Nimzo-Indian Defense,21,0.309197,0.028564,0.272688,0.013207,2.093277
48x5_20260522_lr1e-9,0,Nimzo-Indian Defense: Classical Variation,10,0.292468,0.044853,0.336314,0.019322,3.033699
48x5_20260522_lr1e-9,0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.350563,0.048265,0.339277,0.020024,2.836291
48x5_20260522_lr1e-9,0,Nimzo-Indian Defense: Three Knights Variation,30,0.310869,0.083049,0.326212,0.067083,3.597738
48x5_20260522_lr1e-9,0,Petrov's Defense: Italian Variation,20,0.400275,0.136359,0.314097,0.012347,4.535024
48x5_20260522_lr1e-9,0,Philidor Defense,51,0.304653,0.098751,0.3688,0.063277,6.202622
48x5_20260522_lr1e-9,0,Philidor Defense: Exchange Variation,20,0.423594,0.078844,0.372259,0.040539,3.469771
48x5_20260522_lr1e-9,0,Queen's Gambit Accepted,33,0.310725,0.089764,0.340622,0.036558,4.913012
48x5_20260522_lr1e-9,0,Queen's Gambit Accepted: Old Variation,34,0.36858,0.089833,0.377624,0.054529,4.562857
48x5_20260522_lr1e-9,0,Queen's Gambit Declined,38,0.298832,0.046751,0.336386,0.029532,4.330861
48x5_20260522_lr1e-9,0,Queen's Gambit Declined: Harrwitz Attack,34,0.390291,0.014426,0.334187,0.015322,0.99226
48x5_20260522_lr1e-9,0,Queen's Gambit Declined: Modern Variation,19,0.366622,0.021503,0.329033,0.019593,1.085067
48x5_20260522_lr1e-9,0,Queen's Gambit Declined: Ragozin Defense,39,0.368189,0.014248,0.329671,0.017334,1.050745
48x5_20260522_lr1e-9,0,Queen's Gambit Declined: Three Knights Variation,34,0.37382,0.016572,0.359526,0.014769,1.045119
48x5_20260522_lr1e-9,0,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.194052,0.022206,0.303791,0.005946,5.262601
48x5_20260522_lr1e-9,0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.229911,0.035627,0.263161,0.008344,5.023763
48x5_20260522_lr1e-9,0,Queen's Pawn Game: Accelerated London System,98,0.284646,0.043121,0.320097,0.018738,2.832053
48x5_20260522_lr1e-9,0,Queen's Pawn Game: London System,35,0.277693,0.032602,0.323223,0.028665,2.418445
48x5_20260522_lr1e-9,0,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.391068,0.060338,0.373112,0.028875,4.307273
48x5_20260522_lr1e-9,0,Ruy Lopez: Exchange Variation,9,0.488224,0.089234,0.467343,0.036089,2.711687
48x5_20260522_lr1e-9,0,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.470311,0.081413,0.401795,0.027337,0.996936
48x5_20260522_lr1e-9,0,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.547483,0.059463,0.473418,0.034082,0.73479
48x5_20260522_lr1e-9,0,Ruy Lopez: Morphy Defense,9,0.43525,0.047974,0.497945,0.022661,1.003858
48x5_20260522_lr1e-9,0,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.374644,0.064001,0.453968,0.026772,2.983252
48x5_20260522_lr1e-9,0,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.403846,0.094906,0.460445,0.07087,2.776556
48x5_20260522_lr1e-9,0,Ruy Lopez: Steinitz Defense,17,0.362578,0.082224,0.371974,0.05218,4.99555
48x5_20260522_lr1e-9,0,Semi-Slav Defense,14,0.274981,0.029286,0.367238,0.0222,3.687474
48x5_20260522_lr1e-9,0,Semi-Slav Defense: Accelerated Move Order,17,0.321076,0.06462,0.33232,0.02061,5.095239
48x5_20260522_lr1e-9,0,Semi-Slav Defense: Main Line,17,0.358596,0.038047,0.323265,0.020431,3.029253
48x5_20260522_lr1e-9,0,Sicilian Defense,10,0.367055,0.051919,0.479263,0.074454,1.271454
48x5_20260522_lr1e-9,0,Sicilian Defense: Chekhover Variation,13,0.369856,0.044293,0.409734,0.052242,1.182032
48x5_20260522_lr1e-9,0,Sicilian Defense: Closed,66,0.343188,0.094605,0.361892,0.055075,4.998433
48x5_20260522_lr1e-9,0,"Sicilian Defense: Closed, Traditional",34,0.38459,0.116907,0.3396,0.063751,5.04598
48x5_20260522_lr1e-9,0,Sicilian Defense: Franco-Sicilian Variation,20,0.378124,0.121964,0.384879,0.075675,5.313284
48x5_20260522_lr1e-9,0,Sicilian Defense: Grand Prix Attack,35,0.400773,0.086799,0.377194,0.063665,3.448306
48x5_20260522_lr1e-9,0,Sicilian Defense: Löwenthal Variation,10,0.497187,0.087906,0.501852,0.056042,0.987635
48x5_20260522_lr1e-9,0,Sicilian Defense: Modern Variations,35,0.304261,0.073799,0.311342,0.025573,4.701301
48x5_20260522_lr1e-9,0,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.392403,0.11293,0.38408,0.073125,4.10127
48x5_20260522_lr1e-9,0,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.411096,0.054145,0.391511,0.061378,1.062501
48x5_20260522_lr1e-9,0,"Sicilian Defense: Modern Variations, Main Line",10,0.435703,0.067732,0.567433,0.085864,1.100609
48x5_20260522_lr1e-9,0,Sicilian Defense: Old Sicilian,35,0.377224,0.078463,0.32401,0.04858,3.515362
48x5_20260522_lr1e-9,0,Sicilian Defense: Open,17,0.472173,0.0936,0.45994,0.088346,1.946568
48x5_20260522_lr1e-9,0,Sicilian Defense: Taimanov Variation,9,0.531247,0.058332,0.45596,0.071935,0.733495
48x5_20260522_lr1e-9,10,Bishop's Opening,35,0.304029,0.136002,0.352661,0.054265,8.430954
48x5_20260522_lr1e-9,10,Bishop's Opening: Berlin Defense,28,0.361678,0.111499,0.308934,0.012975,5.369996
48x5_20260522_lr1e-9,10,Bogo-Indian Defense: Exchange Variation,18,0.419668,0.070216,0.347724,0.024347,1.115663
48x5_20260522_lr1e-9,10,Bogo-Indian Defense: Nimzowitsch Variation,18,0.285063,0.08743,0.301482,0.012573,6.036663
48x5_20260522_lr1e-9,10,Catalan Opening: Closed,24,0.37797,0.047933,0.379432,0.059839,3.129872
48x5_20260522_lr1e-9,10,Grünfeld Defense,10,0.371706,0.147574,0.346147,0.059713,6.197492
48x5_20260522_lr1e-9,10,Grünfeld Defense: Exchange Variation,10,0.456706,0.114409,0.436404,0.082957,2.687653
48x5_20260522_lr1e-9,10,Grünfeld Defense: Three Knights Variation,30,0.302066,0.108693,0.330739,0.060153,6.843057
48x5_20260522_lr1e-9,10,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.227877,0.058629,0.377614,0.068151,4.747627
48x5_20260522_lr1e-9,10,Indian Defense: Anti-Nimzo-Indian,22,0.30928,0.054528,0.274575,0.03745,4.271713
48x5_20260522_lr1e-9,10,Indian Defense: London System,35,0.323044,0.071343,0.350224,0.05641,4.120634
48x5_20260522_lr1e-9,10,Italian Game: Classical Variation,18,0.391047,0.099444,0.364866,0.031454,3.928146
48x5_20260522_lr1e-9,10,"Italian Game: Classical Variation, Albin Gambit",16,0.343747,0.101104,0.380332,0.028566,5.421864
48x5_20260522_lr1e-9,10,"Italian Game: Classical Variation, Center Attack",16,0.493856,0.133464,0.428088,0.023157,4.08254
48x5_20260522_lr1e-9,10,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.335068,0.091376,0.346306,0.017855,5.04362
48x5_20260522_lr1e-9,10,"Italian Game: Giuoco Pianissimo, Normal",27,0.339632,0.072359,0.349352,0.016064,4.266448
48x5_20260522_lr1e-9,10,Italian Game: Giuoco Piano,22,0.360875,0.11784,0.369313,0.020547,5.745578
48x5_20260522_lr1e-9,10,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.444823,0.169853,0.444001,0.080385,5.228783
48x5_20260522_lr1e-9,10,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.319855,0.071288,0.299176,0.015923,3.997815
48x5_20260522_lr1e-9,10,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.237992,0.091292,0.323835,0.020155,7.696097
48x5_20260522_lr1e-9,10,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.365177,0.141763,0.372124,0.029836,6.589388
48x5_20260522_lr1e-9,10,King's Indian Defense,10,0.355609,0.086002,0.405792,0.040393,4.505914
48x5_20260522_lr1e-9,10,King's Indian Defense: Fianchetto Variation,22,0.279585,0.059125,0.441064,0.108347,5.151533
48x5_20260522_lr1e-9,10,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.2262,0.061007,0.291299,0.054513,6.722665
48x5_20260522_lr1e-9,10,King's Indian Defense: Four Pawns Attack,9,0.353331,0.0797,0.459675,0.05215,3.139783
48x5_20260522_lr1e-9,10,King's Indian Defense: Normal Variation,10,0.336326,0.051511,0.400227,0.041976,2.873478
48x5_20260522_lr1e-9,10,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.347842,0.103308,0.414267,0.048594,4.150212
48x5_20260522_lr1e-9,10,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.383176,0.070908,0.43958,0.049356,2.500661
48x5_20260522_lr1e-9,10,King's Indian Defense: Smyslov Variation,21,0.320261,0.090074,0.407008,0.054143,3.866212
48x5_20260522_lr1e-9,10,London System,29,0.27809,0.076105,0.341028,0.051066,5.951292
48x5_20260522_lr1e-9,10,"London System, with Bd3",13,0.295053,0.063745,0.399965,0.07114,5.12212
48x5_20260522_lr1e-9,10,"London System, with Be2",13,0.284518,0.066178,0.383035,0.07741,5.183543
48x5_20260522_lr1e-9,10,Neo-Grünfeld Defense: with Nf3,24,0.375696,0.123127,0.320509,0.051207,5.350826
48x5_20260522_lr1e-9,10,Nimzo-Indian Defense,21,0.294121,0.037575,0.272688,0.013207,2.922969
48x5_20260522_lr1e-9,10,Nimzo-Indian Defense: Classical Variation,10,0.256782,0.0663,0.336314,0.019322,6.37955
48x5_20260522_lr1e-9,10,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.345671,0.059662,0.339277,0.020024,2.9046
48x5_20260522_lr1e-9,10,Nimzo-Indian Defense: Three Knights Variation,30,0.306761,0.087786,0.326212,0.067083,4.147392
48x5_20260522_lr1e-9,10,Petrov's Defense: Italian Variation,20,0.39246,0.148018,0.314097,0.012347,6.917109
48x5_20260522_lr1e-9,10,Philidor Defense,51,0.318818,0.106596,0.3688,0.063277,6.506018
48x5_20260522_lr1e-9,10,Philidor Defense: Exchange Variation,20,0.441468,0.076081,0.372259,0.040539,1.901308
48x5_20260522_lr1e-9,10,Queen's Gambit Accepted,33,0.302073,0.088161,0.340622,0.036558,6.326832
48x5_20260522_lr1e-9,10,Queen's Gambit Accepted: Old Variation,34,0.366377,0.095266,0.377624,0.054529,4.597893
48x5_20260522_lr1e-9,10,Queen's Gambit Declined,38,0.320749,0.059136,0.336386,0.029532,4.297097
48x5_20260522_lr1e-9,10,Queen's Gambit Declined: Harrwitz Attack,34,0.413545,0.022306,0.334187,0.015322,0.958413
48x5_20260522_lr1e-9,10,Queen's Gambit Declined: Modern Variation,19,0.391703,0.03593,0.329033,0.019593,1.068022
48x5_20260522_lr1e-9,10,Queen's Gambit Declined: Ragozin Defense,39,0.391958,0.021983,0.329671,0.017334,1.012619
48x5_20260522_lr1e-9,10,Queen's Gambit Declined: Three Knights Variation,34,0.394175,0.025762,0.359526,0.014769,1.020964
48x5_20260522_lr1e-9,10,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.155163,0.025324,0.303791,0.005946,7.239498
48x5_20260522_lr1e-9,10,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.241088,0.045065,0.263161,0.008344,5.041888
48x5_20260522_lr1e-9,10,Queen's Pawn Game: Accelerated London System,98,0.297809,0.058703,0.320097,0.018738,2.417655
48x5_20260522_lr1e-9,10,Queen's Pawn Game: London System,35,0.287484,0.038596,0.323223,0.028665,2.0233
48x5_20260522_lr1e-9,10,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.432412,0.078415,0.373112,0.028875,4.229963
48x5_20260522_lr1e-9,10,Ruy Lopez: Exchange Variation,9,0.541568,0.118716,0.467343,0.036089,2.698268
48x5_20260522_lr1e-9,10,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.498694,0.091099,0.401795,0.027337,2.49145
48x5_20260522_lr1e-9,10,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.586013,0.092305,0.473418,0.034082,2.482056
48x5_20260522_lr1e-9,10,Ruy Lopez: Morphy Defense,9,0.430457,0.083509,0.497945,0.022661,4.602685
48x5_20260522_lr1e-9,10,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.384161,0.094216,0.453968,0.026772,4.801769
48x5_20260522_lr1e-9,10,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.417412,0.13069,0.460445,0.07087,5.984484
48x5_20260522_lr1e-9,10,Ruy Lopez: Steinitz Defense,17,0.383819,0.086991,0.371974,0.05218,4.936555
48x5_20260522_lr1e-9,10,Semi-Slav Defense,14,0.262556,0.038806,0.367238,0.0222,3.806379
48x5_20260522_lr1e-9,10,Semi-Slav Defense: Accelerated Move Order,17,0.308802,0.073762,0.33232,0.02061,5.191469
48x5_20260522_lr1e-9,10,Semi-Slav Defense: Main Line,17,0.375303,0.053468,0.323265,0.020431,3.046295
48x5_20260522_lr1e-9,10,Sicilian Defense,10,0.455686,0.120726,0.479263,0.074454,2.693295
48x5_20260522_lr1e-9,10,Sicilian Defense: Chekhover Variation,13,0.410741,0.084,0.409734,0.052242,1.220134
48x5_20260522_lr1e-9,10,Sicilian Defense: Closed,66,0.344444,0.108462,0.361892,0.055075,5.090257
48x5_20260522_lr1e-9,10,"Sicilian Defense: Closed, Traditional",34,0.399467,0.127149,0.3396,0.063751,5.051339
48x5_20260522_lr1e-9,10,Sicilian Defense: Franco-Sicilian Variation,20,0.405732,0.114645,0.384879,0.075675,5.174889
48x5_20260522_lr1e-9,10,Sicilian Defense: Grand Prix Attack,35,0.415946,0.106544,0.377194,0.063665,3.920622
48x5_20260522_lr1e-9,10,Sicilian Defense: Löwenthal Variation,10,0.54314,0.107831,0.501852,0.056042,2.442383
48x5_20260522_lr1e-9,10,Sicilian Defense: Modern Variations,35,0.310235,0.074478,0.311342,0.025573,4.654369
48x5_20260522_lr1e-9,10,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.408053,0.139139,0.38408,0.073125,5.026295
48x5_20260522_lr1e-9,10,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.4197,0.092871,0.391511,0.061378,1.158142
48x5_20260522_lr1e-9,10,"Sicilian Defense: Modern Variations, Main Line",10,0.476338,0.100371,0.567433,0.085864,1.082679
48x5_20260522_lr1e-9,10,Sicilian Defense: Old Sicilian,35,0.384157,0.089929,0.32401,0.04858,4.432857
48x5_20260522_lr1e-9,10,Sicilian Defense: Open,17,0.488215,0.098556,0.45994,0.088346,1.901461
48x5_20260522_lr1e-9,10,Sicilian Defense: Taimanov Variation,9,0.594982,0.065427,0.45596,0.071935,0.623913
48x5_20260522_lr1e-9,20,Bishop's Opening,35,0.291581,0.128819,0.352661,0.054265,8.467715
48x5_20260522_lr1e-9,20,Bishop's Opening: Berlin Defense,28,0.348914,0.095512,0.308934,0.012975,5.363181
48x5_20260522_lr1e-9,20,Bogo-Indian Defense: Exchange Variation,18,0.438421,0.081251,0.347724,0.024347,1.071341
48x5_20260522_lr1e-9,20,Bogo-Indian Defense: Nimzowitsch Variation,18,0.323235,0.097397,0.301482,0.012573,4.995078
48x5_20260522_lr1e-9,20,Catalan Opening: Closed,24,0.372484,0.04481,0.379432,0.059839,3.120001
48x5_20260522_lr1e-9,20,Grünfeld Defense,10,0.382684,0.142771,0.346147,0.059713,6.122771
48x5_20260522_lr1e-9,20,Grünfeld Defense: Exchange Variation,10,0.469641,0.107975,0.436404,0.082957,2.609299
48x5_20260522_lr1e-9,20,Grünfeld Defense: Three Knights Variation,30,0.315729,0.108408,0.330739,0.060153,6.784869
48x5_20260522_lr1e-9,20,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.24378,0.058873,0.377614,0.068151,4.672609
48x5_20260522_lr1e-9,20,Indian Defense: Anti-Nimzo-Indian,22,0.31541,0.059521,0.274575,0.03745,4.247112
48x5_20260522_lr1e-9,20,Indian Defense: London System,35,0.326844,0.071865,0.350224,0.05641,4.095307
48x5_20260522_lr1e-9,20,Italian Game: Classical Variation,18,0.381768,0.08857,0.364866,0.031454,3.92703
48x5_20260522_lr1e-9,20,"Italian Game: Classical Variation, Albin Gambit",16,0.345894,0.087432,0.380332,0.028566,5.376232
48x5_20260522_lr1e-9,20,"Italian Game: Classical Variation, Center Attack",16,0.483288,0.116263,0.428088,0.023157,4.061495
48x5_20260522_lr1e-9,20,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.33196,0.083296,0.346306,0.017855,4.609257
48x5_20260522_lr1e-9,20,"Italian Game: Giuoco Pianissimo, Normal",27,0.328518,0.063364,0.349352,0.016064,4.279542
48x5_20260522_lr1e-9,20,Italian Game: Giuoco Piano,22,0.352169,0.107211,0.369313,0.020547,5.742147
48x5_20260522_lr1e-9,20,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.440518,0.162459,0.444001,0.080385,5.787422
48x5_20260522_lr1e-9,20,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.309944,0.063333,0.299176,0.015923,4.004789
48x5_20260522_lr1e-9,20,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.23232,0.078651,0.323835,0.020155,7.68826
48x5_20260522_lr1e-9,20,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.359767,0.130638,0.372124,0.029836,6.581188
48x5_20260522_lr1e-9,20,King's Indian Defense,10,0.364013,0.079977,0.405792,0.040393,4.432808
48x5_20260522_lr1e-9,20,King's Indian Defense: Fianchetto Variation,22,0.294945,0.057734,0.441064,0.108347,5.06338
48x5_20260522_lr1e-9,20,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.234698,0.058871,0.291299,0.054513,6.647297
48x5_20260522_lr1e-9,20,King's Indian Defense: Four Pawns Attack,9,0.375916,0.067449,0.459675,0.05215,2.98314
48x5_20260522_lr1e-9,20,King's Indian Defense: Normal Variation,10,0.347911,0.046583,0.400227,0.041976,2.787456
48x5_20260522_lr1e-9,20,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.356308,0.098866,0.414267,0.048594,4.075148
48x5_20260522_lr1e-9,20,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.389619,0.06434,0.43958,0.049356,2.450918
48x5_20260522_lr1e-9,20,King's Indian Defense: Smyslov Variation,21,0.327123,0.084692,0.407008,0.054143,3.77289
48x5_20260522_lr1e-9,20,London System,29,0.297584,0.084363,0.341028,0.051066,5.903471
48x5_20260522_lr1e-9,20,"London System, with Bd3",13,0.309666,0.069169,0.399965,0.07114,5.064823
48x5_20260522_lr1e-9,20,"London System, with Be2",13,0.306817,0.069976,0.383035,0.07741,5.081988
48x5_20260522_lr1e-9,20,Neo-Grünfeld Defense: with Nf3,24,0.375751,0.11991,0.320509,0.051207,5.330473
48x5_20260522_lr1e-9,20,Nimzo-Indian Defense,21,0.285746,0.04067,0.272688,0.013207,2.961762
48x5_20260522_lr1e-9,20,Nimzo-Indian Defense: Classical Variation,10,0.272626,0.073857,0.336314,0.019322,6.307604
48x5_20260522_lr1e-9,20,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.357475,0.06241,0.339277,0.020024,2.832654
48x5_20260522_lr1e-9,20,Nimzo-Indian Defense: Three Knights Variation,30,0.303401,0.090611,0.326212,0.067083,4.172557
48x5_20260522_lr1e-9,20,Petrov's Defense: Italian Variation,20,0.378486,0.137505,0.314097,0.012347,6.924555
48x5_20260522_lr1e-9,20,Philidor Defense,51,0.310105,0.109384,0.3688,0.063277,7.132181
48x5_20260522_lr1e-9,20,Philidor Defense: Exchange Variation,20,0.425846,0.07052,0.372259,0.040539,1.192712
48x5_20260522_lr1e-9,20,Queen's Gambit Accepted,33,0.291272,0.097788,0.340622,0.036558,6.88136
48x5_20260522_lr1e-9,20,Queen's Gambit Accepted: Old Variation,34,0.371521,0.100429,0.377624,0.054529,4.592995
48x5_20260522_lr1e-9,20,Queen's Gambit Declined,38,0.313263,0.05656,0.336386,0.029532,4.305248
48x5_20260522_lr1e-9,20,Queen's Gambit Declined: Harrwitz Attack,34,0.41017,0.019214,0.334187,0.015322,0.945966
48x5_20260522_lr1e-9,20,Queen's Gambit Declined: Modern Variation,19,0.398574,0.035546,0.329033,0.019593,1.025596
48x5_20260522_lr1e-9,20,Queen's Gambit Declined: Ragozin Defense,39,0.385191,0.019956,0.329671,0.017334,1.015499
48x5_20260522_lr1e-9,20,Queen's Gambit Declined: Three Knights Variation,34,0.388728,0.023471,0.359526,0.014769,1.019289
48x5_20260522_lr1e-9,20,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.151852,0.022881,0.303791,0.005946,7.218581
48x5_20260522_lr1e-9,20,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.214401,0.032148,0.263161,0.008344,5.114951
48x5_20260522_lr1e-9,20,Queen's Pawn Game: Accelerated London System,98,0.293003,0.054247,0.320097,0.018738,2.568069
48x5_20260522_lr1e-9,20,Queen's Pawn Game: London System,35,0.294222,0.042217,0.323223,0.028665,2.418954
48x5_20260522_lr1e-9,20,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.420238,0.059031,0.373112,0.028875,4.227363
48x5_20260522_lr1e-9,20,Ruy Lopez: Exchange Variation,9,0.520551,0.103312,0.467343,0.036089,2.778898
48x5_20260522_lr1e-9,20,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.488409,0.072144,0.401795,0.027337,2.485147
48x5_20260522_lr1e-9,20,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.572403,0.074295,0.473418,0.034082,2.478003
48x5_20260522_lr1e-9,20,Ruy Lopez: Morphy Defense,9,0.412169,0.05993,0.497945,0.022661,4.607461
48x5_20260522_lr1e-9,20,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.365873,0.068944,0.453968,0.026772,4.806546
48x5_20260522_lr1e-9,20,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.400952,0.109069,0.460445,0.07087,5.988783
48x5_20260522_lr1e-9,20,Ruy Lopez: Steinitz Defense,17,0.370856,0.075178,0.371974,0.05218,4.954173
48x5_20260522_lr1e-9,20,Semi-Slav Defense,14,0.286095,0.035803,0.367238,0.0222,3.674684
48x5_20260522_lr1e-9,20,Semi-Slav Defense: Accelerated Move Order,17,0.324106,0.069979,0.33232,0.02061,5.115525
48x5_20260522_lr1e-9,20,Semi-Slav Defense: Main Line,17,0.40192,0.054027,0.323265,0.020431,2.945304
48x5_20260522_lr1e-9,20,Sicilian Defense,10,0.404056,0.065923,0.479263,0.074454,1.159736
48x5_20260522_lr1e-9,20,Sicilian Defense: Chekhover Variation,13,0.389283,0.074122,0.409734,0.052242,2.422122
48x5_20260522_lr1e-9,20,Sicilian Defense: Closed,66,0.331689,0.102348,0.361892,0.055075,6.038842
48x5_20260522_lr1e-9,20,"Sicilian Defense: Closed, Traditional",34,0.391452,0.119104,0.3396,0.063751,5.509618
48x5_20260522_lr1e-9,20,Sicilian Defense: Franco-Sicilian Variation,20,0.377127,0.109265,0.384879,0.075675,5.255853
