step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll
0,Bishop's Opening,35,0.294434,0.153781,0.352661,0.054265,10.298309
0,Bishop's Opening: Berlin Defense,28,0.352386,0.146091,0.308934,0.012975,8.26235
0,Bogo-Indian Defense: Exchange Variation,18,0.362335,0.121864,0.347724,0.024347,4.921534
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.280588,0.101696,0.301482,0.012573,6.887368
0,Catalan Opening: Closed,24,0.510088,0.166928,0.379432,0.059839,3.742291
0,Grünfeld Defense,10,0.516667,0.172748,0.346147,0.059713,5.826607
0,Grünfeld Defense: Exchange Variation,10,0.616667,0.159415,0.436404,0.082957,3.984539
0,Grünfeld Defense: Three Knights Variation,30,0.44429,0.204498,0.330739,0.060153,8.200709
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.359452,0.178889,0.377614,0.068151,9.07262
0,Indian Defense: Anti-Nimzo-Indian,22,0.449752,0.14325,0.274575,0.03745,4.091685
0,Indian Defense: London System,35,0.384969,0.149201,0.350224,0.05641,6.363147
0,Italian Game: Classical Variation,18,0.3635,0.162633,0.364866,0.031454,7.687079
0,"Italian Game: Classical Variation, Albin Gambit",16,0.431526,0.161108,0.380332,0.028566,5.319145
0,"Italian Game: Classical Variation, Center Attack",16,0.443999,0.164022,0.428088,0.023157,5.218163
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.490449,0.145286,0.346306,0.017855,3.826953
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.474474,0.127682,0.349352,0.016064,4.619275
0,Italian Game: Giuoco Piano,22,0.421299,0.146009,0.369313,0.020547,5.648906
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.432168,0.19222,0.444001,0.080385,6.413662
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.379172,0.164821,0.299176,0.015923,7.123165
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.235762,0.104707,0.323835,0.020155,7.573212
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.332927,0.14373,0.372124,0.029836,7.312296
0,King's Indian Defense,10,0.421667,0.15214,0.405792,0.040393,6.016319
0,King's Indian Defense: Fianchetto Variation,22,0.353433,0.152977,0.441064,0.108347,6.578106
0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.390546,0.139316,0.291299,0.054513,5.368453
0,King's Indian Defense: Four Pawns Attack,9,0.480423,0.143024,0.459675,0.05215,4.598426
0,King's Indian Defense: Normal Variation,10,0.472063,0.14341,0.400227,0.041976,4.299528
0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.509857,0.163291,0.414267,0.048594,3.759891
0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.559909,0.132682,0.43958,0.049356,2.860116
0,King's Indian Defense: Smyslov Variation,21,0.439595,0.139342,0.407008,0.054143,5.027872
0,London System,29,0.349543,0.193096,0.341028,0.051066,8.718838
0,"London System, with Bd3",13,0.321892,0.165895,0.399965,0.07114,8.944184
0,"London System, with Be2",13,0.431324,0.16131,0.383035,0.07741,6.162641
0,Neo-Grünfeld Defense: with Nf3,24,0.396506,0.188507,0.320509,0.051207,5.503369
0,Nimzo-Indian Defense,21,0.416163,0.141985,0.272688,0.013207,4.301582
0,Nimzo-Indian Defense: Classical Variation,10,0.608123,0.151307,0.336314,0.019322,2.381626
0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.585901,0.172902,0.339277,0.020024,4.073286
0,Nimzo-Indian Defense: Three Knights Variation,30,0.395715,0.165618,0.326212,0.067083,6.670513
0,Petrov's Defense: Italian Variation,20,0.409441,0.189999,0.314097,0.012347,8.550995
0,Philidor Defense,51,0.360355,0.167186,0.3688,0.063277,8.059552
0,Philidor Defense: Exchange Variation,20,0.469608,0.217913,0.372259,0.040539,7.652633
