network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
48x5_20260611_lr1e-9,0,Queen's Gambit Declined: Three Knights Variation,34,0.375016,0.016822,0.359526,0.014769,35.441478,36.819853
48x5_20260611_lr1e-9,0,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.182941,0.022019,0.303791,0.005946,47.951194,11.032204
48x5_20260611_lr1e-9,0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.217629,0.027659,0.263161,0.008344,70.693977,19.747827
48x5_20260611_lr1e-9,0,Queen's Pawn Game: Accelerated London System,98,0.288841,0.044961,0.320097,0.018738,276.418593,120.309382
48x5_20260611_lr1e-9,0,Queen's Pawn Game: London System,35,0.289646,0.040971,0.323223,0.028665,113.906518,44.757004
48x5_20260611_lr1e-9,0,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.391068,0.060338,0.373112,0.028875,43.072726,10.892678
48x5_20260611_lr1e-9,0,Ruy Lopez: Exchange Variation,9,0.488224,0.089234,0.467343,0.036089,24.405185,7.637707
48x5_20260611_lr1e-9,0,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.470311,0.081413,0.401795,0.027337,9.969364,10.063152
48x5_20260611_lr1e-9,0,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.547483,0.059463,0.473418,0.034082,6.613113,7.458076
48x5_20260611_lr1e-9,0,Ruy Lopez: Morphy Defense,9,0.43525,0.047974,0.497945,0.022661,9.034724,6.825701
48x5_20260611_lr1e-9,0,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.374644,0.064001,0.453968,0.026772,26.849269,7.823029
48x5_20260611_lr1e-9,0,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.403846,0.094906,0.460445,0.07087,27.76556,14.01498
48x5_20260611_lr1e-9,0,Ruy Lopez: Steinitz Defense,17,0.365519,0.081406,0.371974,0.05218,84.701201,21.672759
48x5_20260611_lr1e-9,0,Semi-Slav Defense,14,0.262905,0.029871,0.367238,0.0222,52.467169,15.58745
48x5_20260611_lr1e-9,0,Semi-Slav Defense: Accelerated Move Order,17,0.315883,0.055586,0.33232,0.02061,71.432781,20.551942
48x5_20260611_lr1e-9,0,Semi-Slav Defense: Main Line,17,0.370556,0.041749,0.323265,0.020431,51.157485,21.182156
48x5_20260611_lr1e-9,0,Sicilian Defense,10,0.379988,0.049339,0.479263,0.074454,12.209735,9.42369
48x5_20260611_lr1e-9,0,Sicilian Defense: Chekhover Variation,13,0.383918,0.041854,0.409734,0.052242,14.696056,14.236131
48x5_20260611_lr1e-9,0,Sicilian Defense: Closed,66,0.345743,0.095339,0.361892,0.055075,284.78873,86.780789
48x5_20260611_lr1e-9,0,"Sicilian Defense: Closed, Traditional",34,0.384736,0.113827,0.3396,0.063751,170.831313,53.151613
48x5_20260611_lr1e-9,0,Sicilian Defense: Franco-Sicilian Variation,20,0.37704,0.122121,0.384879,0.075675,106.336781,27.274444
48x5_20260611_lr1e-9,0,Sicilian Defense: Grand Prix Attack,35,0.400227,0.083339,0.377194,0.063665,120.495753,45.203963
48x5_20260611_lr1e-9,0,Sicilian Defense: Löwenthal Variation,10,0.49567,0.088383,0.501852,0.056042,9.897011,8.032144
48x5_20260611_lr1e-9,0,Sicilian Defense: Modern Variations,35,0.315339,0.069581,0.311342,0.025573,146.647,44.998593
48x5_20260611_lr1e-9,0,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.405661,0.118644,0.38408,0.073125,84.163812,23.126486
48x5_20260611_lr1e-9,0,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.429768,0.048308,0.391511,0.061378,9.867152,13.855622
48x5_20260611_lr1e-9,0,"Sicilian Defense: Modern Variations, Main Line",10,0.446803,0.063644,0.567433,0.085864,10.582928,8.220391
48x5_20260611_lr1e-9,0,Sicilian Defense: Old Sicilian,35,0.372276,0.074607,0.32401,0.04858,123.038994,47.564828
48x5_20260611_lr1e-9,0,Sicilian Defense: Open,17,0.470899,0.094699,0.45994,0.088346,33.191254,18.280124
48x5_20260611_lr1e-9,0,Sicilian Defense: Taimanov Variation,9,0.534059,0.054618,0.45596,0.071935,6.517416,8.850648
48x5_20260611_lr1e-9,10,Bishop's Opening,35,0.298404,0.130043,0.352661,0.054265,279.906341,45.741233
48x5_20260611_lr1e-9,10,Bishop's Opening: Berlin Defense,28,0.34188,0.093655,0.308934,0.012975,150.863026,34.812974
48x5_20260611_lr1e-9,10,Bogo-Indian Defense: Exchange Variation,18,0.434036,0.079368,0.347724,0.024347,19.232375,20.703641
48x5_20260611_lr1e-9,10,Bogo-Indian Defense: Nimzowitsch Variation,18,0.306337,0.090189,0.301482,0.012573,90.555889,22.691327
48x5_20260611_lr1e-9,10,Catalan Opening: Closed,24,0.376761,0.048819,0.379432,0.059839,74.831111,27.006645
48x5_20260611_lr1e-9,10,Grünfeld Defense,10,0.387229,0.140717,0.346147,0.059713,60.940026,14.212191
48x5_20260611_lr1e-9,10,Grünfeld Defense: Exchange Variation,10,0.47144,0.106082,0.436404,0.082957,25.893198,10.904629
48x5_20260611_lr1e-9,10,Grünfeld Defense: Three Knights Variation,30,0.313867,0.105741,0.330739,0.060153,203.37543,42.197992
48x5_20260611_lr1e-9,10,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.251514,0.057558,0.377614,0.068151,97.01956,25.488274
48x5_20260611_lr1e-9,10,Indian Defense: Anti-Nimzo-Indian,22,0.333979,0.0743,0.274575,0.03745,93.217336,36.274228
48x5_20260611_lr1e-9,10,Indian Defense: London System,35,0.324288,0.073994,0.350224,0.05641,116.312821,45.473879
48x5_20260611_lr1e-9,10,Italian Game: Classical Variation,18,0.372972,0.08845,0.364866,0.031454,71.215413,20.864884
48x5_20260611_lr1e-9,10,"Italian Game: Classical Variation, Albin Gambit",16,0.33856,0.098215,0.380332,0.028566,86.860692,17.306238
48x5_20260611_lr1e-9,10,"Italian Game: Classical Variation, Center Attack",16,0.483066,0.122725,0.428088,0.023157,65.318511,14.92749
48x5_20260611_lr1e-9,10,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.323684,0.083302,0.346306,0.017855,192.87299,39.841182
48x5_20260611_lr1e-9,10,"Italian Game: Giuoco Pianissimo, Normal",27,0.321215,0.062621,0.349352,0.016064,131.943402,30.233633
48x5_20260611_lr1e-9,10,Italian Game: Giuoco Piano,22,0.355443,0.119171,0.369313,0.020547,127.203096,23.673696
48x5_20260611_lr1e-9,10,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.428946,0.16203,0.444001,0.080385,131.962628,30.973696
48x5_20260611_lr1e-9,10,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.306745,0.0618,0.299176,0.015923,140.518499,40.095809
48x5_20260611_lr1e-9,10,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.219906,0.073919,0.323835,0.020155,170.44541,27.153871
48x5_20260611_lr1e-9,10,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.34588,0.128619,0.372124,0.029836,146.38994,24.647432
48x5_20260611_lr1e-9,10,King's Indian Defense,10,0.360803,0.075174,0.405792,0.040393,44.240277,10.220564
48x5_20260611_lr1e-9,10,King's Indian Defense: Fianchetto Variation,22,0.283818,0.05511,0.441064,0.108347,112.324973,26.620346
48x5_20260611_lr1e-9,10,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.250398,0.065345,0.291299,0.054513,105.94801,25.066807
48x5_20260611_lr1e-9,10,King's Indian Defense: Four Pawns Attack,9,0.361061,0.065888,0.459675,0.05215,27.488318,8.295772
48x5_20260611_lr1e-9,10,King's Indian Defense: Normal Variation,10,0.362833,0.045141,0.400227,0.041976,27.36769,10.360807
48x5_20260611_lr1e-9,10,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.357405,0.094838,0.414267,0.048594,73.430874,18.514729
48x5_20260611_lr1e-9,10,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.390329,0.061347,0.43958,0.049356,58.554244,22.951681
48x5_20260611_lr1e-9,10,King's Indian Defense: Smyslov Variation,21,0.327517,0.083699,0.407008,0.054143,79.553361,22.122515
48x5_20260611_lr1e-9,10,London System,29,0.293152,0.083301,0.341028,0.051066,171.955297,39.710726
48x5_20260611_lr1e-9,10,"London System, with Bd3",13,0.324365,0.061515,0.399965,0.07114,64.987305,14.833596
48x5_20260611_lr1e-9,10,"London System, with Be2",13,0.310262,0.065635,0.383035,0.07741,66.085917,15.926746
48x5_20260611_lr1e-9,10,Neo-Grünfeld Defense: with Nf3,24,0.363455,0.103685,0.320509,0.051207,127.544241,33.330833
