step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll
0,Bishop's Opening,35,0.283515,0.062664,0.352661,0.054265,3.371567
0,Bishop's Opening: Berlin Defense,28,0.332631,0.055953,0.308934,0.012975,4.137286
0,Bogo-Indian Defense: Exchange Variation,18,0.463244,0.034833,0.347724,0.024347,0.883646
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.413019,0.07094,0.301482,0.012573,2.88884
0,Catalan Opening: Closed,24,0.471086,0.071575,0.379432,0.059839,0.938004
0,Grünfeld Defense,10,0.445039,0.095565,0.346147,0.059713,4.235563
0,Grünfeld Defense: Exchange Variation,10,0.545039,0.096557,0.436404,0.082957,2.393494
0,Grünfeld Defense: Three Knights Variation,30,0.402072,0.113128,0.330739,0.060153,5.448815
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.381378,0.103588,0.377614,0.068151,5.025225
0,Indian Defense: Anti-Nimzo-Indian,22,0.369743,0.088719,0.274575,0.03745,4.165991
0,Indian Defense: London System,35,0.321719,0.052297,0.350224,0.05641,3.622533
0,Italian Game: Classical Variation,18,0.381874,0.088413,0.364866,0.031454,3.895241
0,"Italian Game: Classical Variation, Albin Gambit",16,0.373519,0.081311,0.380332,0.028566,3.218374
0,"Italian Game: Classical Variation, Center Attack",16,0.460859,0.105505,0.428088,0.023157,2.043322
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.569088,0.064507,0.346306,0.017855,0.691226
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.510938,0.056898,0.349352,0.016064,0.808735
0,Italian Game: Giuoco Piano,22,0.465473,0.108226,0.369313,0.020547,2.472156
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.509568,0.144189,0.444001,0.080385,2.921355
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.443382,0.07428,0.299176,0.015923,3.074851
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.414661,0.100473,0.323835,0.020155,3.351228
